=== BINARY (TURBO) OPTIONS ===
--- สกุลเงิน (Forex) ---
AUDCAD-OTC (Payout: 85%)
AUDCHF-OTC (Payout: 85%)
AUDJPY-OTC (Payout: 85%)
AUDNZD-OTC (Payout: 85%)
AUDUSD-OTC (Payout: 85%)
CADCHF-OTC (Payout: 85%)
CADJPY-OTC (Payout: 85%)
CHFJPY-OTC (Payout: 85%)
CHFNOK-OTC (Payout: 85%)
EURAUD-OTC (Payout: 85%)
EURCAD-OTC (Payout: 85%)
EURCHF-OTC (Payout: 85%)
EURGBP-OTC (Payout: 85%)
EURJPY-OTC (Payout: 85%)
EURNZD-OTC (Payout: 85%)
EURTHB-OTC (Payout: 85%)
EURUSD-OTC (Payout: 85%)
GBPAUD-OTC (Payout: 85%)
GBPCAD-OTC (Payout: 85%)
GBPCHF-OTC (Payout: 85%)
GBPJPY-OTC (Payout: 85%)
GBPNZD-OTC (Payout: 85%)
GBPUSD-OTC (Payout: 85%)
JPYTHB-OTC (Payout: 85%)
NOKJPY-OTC (Payout: 85%)
NZDCAD-OTC (Payout: 85%)
NZDCHF-OTC (Payout: 85%)
NZDJPY-OTC (Payout: 85%)
PENUSD-OTC (Payout: 85%)
USDAED-OTC (Payout: 85%)
USDARS-OTC (Payout: 85%)
USDBDT-OTC (Payout: 85%)
USDBOB-OTC (Payout: 85%)
USDBRL-OTC (Payout: 85%)
USDCAD-OTC (Payout: 85%)
USDCHF-OTC (Payout: 85%)
USDCLP-OTC (Payout: 85%)
USDCOP-OTC (Payout: 85%)
USDDOP-OTC (Payout: 85%)
USDHKD-OTC (Payout: 85%)
USDIDR-OTC (Payout: 85%)
USDINR-OTC (Payout: 85%)
USDMXN-OTC (Payout: 85%)
USDMYR-OTC (Payout: 85%)
USDNGN-OTC (Payout: 85%)
USDNOK-OTC (Payout: 85%)
USDPHP-OTC (Payout: 85%)
USDPLN-OTC (Payout: 85%)
USDSAR-OTC (Payout: 85%)
USDSEK-OTC (Payout: 85%)
USDSGD-OTC (Payout: 85%)
USDTHB-OTC (Payout: 85%)
USDTRY-OTC (Payout: 85%)
USDVND-OTC (Payout: 85%)
USDZAR-OTC (Payout: 85%)

--- คริปโตเคอเรนซี (Crypto) ---
ARBUSD-OTC (Payout: 85%)
ATOMUSD-OTC (Payout: 85%)
BCHUSD-OTC (Payout: 85%)
BONKUSD-OTC (Payout: 85%)
BTCUSD-OTC-op (Payout: 85%)
DASHUSD-OTC (Payout: 85%)
DOTUSD-OTC (Payout: 85%)
DYDXUSD-OTC (Payout: 87%)
EOSUSD-OTC (Payout: 85%)
ETHUSD-OTC (Payout: 85%)
FARTCOINUSD-OTC (Payout: 85%)
FETUSD-OTC (Payout: 87%)
FLOKIUSD-OTC (Payout: 85%)
GRTUSD-OTC (Payout: 85%)
HBARUSD-OTC (Payout: 87%)
ICPUSD-OTC (Payout: 85%)
IMXUSD-OTC (Payout: 85%)
INJUSD-OTC (Payout: 85%)
IOTAUSD-OTC (Payout: 85%)
JUPUSD-OTC (Payout: 85%)
LABUBUUSD-OTC (Payout: 85%)
LINKUSD-OTC (Payout: 85%)
LTCUSD-OTC (Payout: 85%)
MANAUSD-OTC (Payout: 85%)
MATICUSD-OTC (Payout: 85%)
MELANIAUSD-OTC (Payout: 85%)
ONDOUSD-OTC (Payout: 87%)
ORDIUSD-OTC (Payout: 85%)
PENGUUSD-OTC (Payout: 87%)
PEPEUSD-OTC (Payout: 85%)
PYTHUSD-OTC (Payout: 85%)
RAYDIUMUSD-OTC (Payout: 87%)
RENDERUSD-OTC (Payout: 87%)
RONINUSD-OTC (Payout: 85%)
SANDUSD-OTC (Payout: 85%)
SATSUSD-OTC (Payout: 85%)
SEIUSD-OTC (Payout: 85%)
SHIBUSD-OTC (Payout: 85%)
SOLUSD-OTC (Payout: 85%)
STXUSD-OTC (Payout: 85%)
SUIUSD-OTC (Payout: 87%)
TAOUSD-OTC (Payout: 87%)
TIAUSD-OTC (Payout: 85%)
TONUSD-OTC (Payout: 84%)
TRON-OTC (Payout: 85%)
TRUMPUSD-OTC (Payout: 85%)
WIFUSD-OTC (Payout: 85%)
WLDUSD-OTC (Payout: 85%)
XRPUSD-OTC (Payout: 85%)

--- หุ้น (Stocks) ---
AIG-OTC (Payout: 85%)
AIRLINES-OTC (Payout: 85%)
ALIBABA-OTC (Payout: 85%)
AMAZON-OTC (Payout: 85%)
AMZN/ALIBABA-OTC (Payout: 85%)
AMZN/EBAY-OTC (Payout: 84%)
APPLE-OTC (Payout: 85%)
CANNABIS-OTC (Payout: 85%)
CARDANO-OTC (Payout: 85%)
CASINOS-OTC (Payout: 85%)
CITI-OTC (Payout: 85%)
COKE-OTC (Payout: 85%)
FB-OTC (Payout: 85%)
FWONA-OTC (Payout: 85%)
GEV-OTC (Payout: 85%)
GOOGLE-OTC (Payout: 85%)
GOOGLE/MSFT-OTC (Payout: 85%)
GS-OTC (Payout: 85%)
INTEL-OTC (Payout: 85%)
INTEL/IBM-OTC (Payout: 84%)
JPM-OTC (Payout: 85%)
KLARNA-OTC (Payout: 85%)
LUNA-OTC (Payout: 85%)
MAGNIFICENT7-OTC (Payout: 85%)
MCDON-OTC (Payout: 85%)
META/GOOGLE-OTC (Payout: 84%)
MORSTAN-OTC (Payout: 85%)
MSFT-OTC (Payout: 85%)
MSFT/AAPL-OTC (Payout: 84%)
MU-OTC (Payout: 85%)
NFLX/AMZN-OTC (Payout: 84%)
NIKE-OTC (Payout: 85%)
NVDA-OTC (Payout: 85%)
NVDA/AMD-OTC (Payout: 84%)
PLTR-OTC (Payout: 85%)
SNAP-OTC (Payout: 85%)
SNDK-OTC (Payout: 85%)
