เลขลำดับ,รายการในเอกสาร,บอทใช้วิธีใด เพื่อให้ได้ข้อมูลมา,มีโค๊ดคำนวณจริงอยู่ที่ใด,ใช้ข้อมูลจริงมาคำนวณ,ใช้วิธีวิเคราะห์แบบสากล
1,ID:,,,,
meta:,,,,,
2,timestamp:,,,,
3,symbol:,,,,
4,session:,,,,
5,m1_open:,,,,
6,m1_age:,,,,
7,m1_quality:,,,,
8,m5_open:,,,,
9,m5_age:,,,,
10,m5_quality:,,,,
market_context:,,,,,
11,state:,,,,
12,description:,,,,
13,volatility_regime:,,,,
14,news_impact:,,,,
15,expected_volatility_%:,,,,
timeframes:,,,,,
m1:,,,,,
16,last_candle:,,,,
17,ema5:,,,,
18,ema20:,,,,
19,rsi:,,,,
20,stoch_k:,,,,
21,stoch_d:,,,,
22,macd:,,,,
23,macd_signal:,,,,
ohclv:,,,,,
24,open:,,,,
25,high: ,,,,
26,low: ,,,,
27,close:,,,,
28,volume:,,,,
m5:,,,,,
29,bias:,,,,
30,ema5:,,,,
31,ema10:,,,,
32,ema20:,,,,
33,ema50:,,,,
34,bb_upper:,,,,
35,bb_lower:,,,,
36,bb_width:,,,,
37,rsi:,,,,
38,stoch_k:,,,,
39,stoch_d:,,,,
40,macd:,,,,
41,macd_signal:,,,,
42,adx:,,,,
43,atr:,,,,
44,support:,,,,
45,resistance:,,,,
46,pivot:,,,,
ohclv:,,,,,
47,open:,,,,
48,high: ,,,,
49,low: ,,,,
50,close:,,,,
51,volume:,,,,
m15:,,,,,
52,bias:,,,,
price_action:,,,,,
53,pattern:,,,,
54,last_candle_bias:,,,,
55,body_strength:,,,,
56,wick_dominance:,,,,
57,momentum_bias:,,,,
58,move_quality:,,,,
59,trap_alert:,,,,
60,sr_interaction:,,,,
volume:,,,,,
61,tick_volume:,,,,
62,volume_momentum:,,,,
63,volume_vs_average:,,,,
analysis:,,,,,
64,trend_direction:,,,,
65,trend_type:,,,,
66,trend_strength_score:,,,,
67,mtf_alignment_%:,,,,
68,compression_quality_%:,,,,
69,exhaustion_risk_%:,,,,
70,bos_detected:,,,,
decision_layer:,,,,,
71,tradeable:,,,,
72,stability_score:,,,,
73,quality_score:,,,,
74,risk_level:,,,,
75,confidence_score:,รอการวิเคราะห์จาก AI,,,
76,suggested_expiry_minutes:,รอการวิเคราะห์จาก AI,,,
77,suggested_action:,รอการวิเคราะห์จาก AI,,,
78,final_reason_th:,รอการวิเคราะห์จาก AI,,,
