PROMPT_ID: GBPUSDOTC0724151006
state: BREAKOUT_EMERGING
description: Volatility expansion after compression. Potential breakout opportunity.
volatility_regime: HIGH
news_impact: NONE_OTC
expected_volatility_%: 0.089
m5_bias: BULLISH
m5_ema5: 1.334924
m5_ema10: 1.334036
m5_ema20: 1.33309
m5_ema50: 1.331819
m5_bb_upper: 1.335919
m5_bb_lower: 1.329034
m5_bb_width: 0.006884
m5_rsi: 66.77
m5_stoch_k: 87.92
m5_stoch_d: 92.19
m5_macd: 0.001044
m5_macd_signal: 0.000648
m5_adx: 27.48
m5_atr: 0.001193
m5_support: 1.330015
m5_resistance: 1.333475
m5_pivot: 1.335465
m1_last_candle: BEARISH
m1_ema5: 1.335485
m1_ema20: 1.335131
m1_rsi: 54.96
m1_stoch_k: 40.41
m1_stoch_d: 57.61
m1_macd: 0.000623
m1_macd_signal: 0.000776
m15_bias: BULLISH
pa_pattern: BEARISH_ENGULFING
pa_last_candle_bias: BEARISH
pa_body_strength: WEAK
pa_wick_dominance: HIGH_UPPER_WICK
pa_momentum_bias: BULLISH
pa_move_quality: CHAOTIC
pa_trap_alert: NONE
pa_sr_interaction: BREAKING_ABOVE_RESISTANCE
vol_tick_volume: 1.0
vol_momentum: NO_VOLUME_DATA
vol_vs_average: 1.0
eng_trend_direction: UP
eng_trend_strength: 100
eng_trend_type: IMPULSIVE
eng_strength_momentum_bias: NORMAL
eng_strength_momentum_strength: 70
eng_strength_exhaustion_risk: 30
eng_volatility_regime: HIGH
eng_volatility_compression_detected: False
eng_volatility_compression_quality: 18.64
eng_volatility_score: 73
eng_structure_type: BREAKOUT
eng_structure_bos_detected: True
eng_mtf_alignment_score: 66
eng_mtf_htf_direction: NONE
dl_tradeable: True
dl_stability_score: 66
dl_quality_score: 70
dl_risk_level: MEDIUM
dl_confidence_score: 75
dl_suggested_expiry_minutes: 10
dl_suggested_action: PREPARE_TO_TRADE
dl_final_reason_th: รอทำการเทรด - สภาวะ: BREAKOUT_EMERGING, ความแข็งแรง: 100, โหมดความผันผวน: HIGH
