timestamp,price,asset
2026-07-04T10:00:00.000Z,1.1850,EUR/USD
2026-07-04T10:01:00.000Z,1.1852,EUR/USD
2026-07-04T10:02:00.000Z,1.1855,EUR/USD
2026-07-04T10:03:00.000Z,1.1853,EUR/USD
2026-07-04T10:04:00.000Z,1.1848,EUR/USD
2026-07-04T10:05:00.000Z,1.1845,EUR/USD
2026-07-04T10:06:00.000Z,1.1842,EUR/USD
2026-07-04T10:07:00.000Z,1.1840,EUR/USD
2026-07-04T10:08:00.000Z,1.1838,EUR/USD
2026-07-04T10:09:00.000Z,1.1835,EUR/USD
2026-07-04T10:10:00.000Z,1.1832,EUR/USD
2026-07-04T10:11:00.000Z,1.1830,EUR/USD
2026-07-04T10:12:00.000Z,1.1828,EUR/USD
2026-07-04T10:13:00.000Z,1.1825,EUR/USD
2026-07-04T10:14:00.000Z,1.1823,EUR/USD
2026-07-04T10:15:00.000Z,1.1826,EUR/USD
2026-07-04T10:16:00.000Z,1.1830,EUR/USD
2026-07-04T10:17:00.000Z,1.1835,EUR/USD
2026-07-04T10:18:00.000Z,1.1840,EUR/USD
2026-07-04T10:19:00.000Z,1.1845,EUR/USD
2026-07-04T10:20:00.000Z,1.1850,EUR/USD
2026-07-04T10:21:00.000Z,1.1855,EUR/USD
2026-07-04T10:22:00.000Z,1.1860,EUR/USD
2026-07-04T10:23:00.000Z,1.1865,EUR/USD
2026-07-04T10:24:00.000Z,1.1870,EUR/USD
2026-07-04T10:25:00.000Z,1.1875,EUR/USD
2026-07-04T10:26:00.000Z,1.1880,EUR/USD
2026-07-04T10:27:00.000Z,1.1885,EUR/USD
2026-07-04T10:28:00.000Z,1.1890,EUR/USD
2026-07-04T10:29:00.000Z,1.1895,EUR/USD
2026-07-04T10:30:00.000Z,1.1900,EUR/USD
