high,low,close,volume,age,quality,open
0.856625,0.856485,0.856495,668,0,FRESH,
0.857,0.85696,0.85699,185,74401737,STALE,0.856965
0.856985,0.856705,0.856845,871,74101737,STALE,0.85698
0.856895,0.85655,0.856895,16,73801737,STALE,0.856845
0.857255,0.856645,0.85703,57,73501737,STALE,0.856645
0.85703,0.856905,0.856925,32,73201737,STALE,0.85703
0.856925,0.856735,0.85687,94,72901737,STALE,0.856915
0.856945,0.85683,0.856915,142,72601737,STALE,0.85687
0.85698,0.85687,0.856945,85,72301737,STALE,0.856915
0.85697,0.85692,0.856955,169,72001737,STALE,0.856925
0.85702,0.856935,0.857015,119,71701737,STALE,0.856955
0.85707,0.856985,0.85705,141,71401737,STALE,0.85701
0.85708,0.856935,0.85706,163,71101737,STALE,0.857065
0.857075,0.856975,0.85702,106,70801737,STALE,0.85706
0.85705,0.856965,0.857035,353,70501737,STALE,0.857025
0.8571,0.85703,0.85705,416,70201737,STALE,0.85704
0.85705,0.85696,0.85701,135,69901737,STALE,0.85703
0.85706,0.85699,0.85701,181,69601737,STALE,0.85701
0.857055,0.85694,0.856965,259,69301737,STALE,0.85701
0.857005,0.85695,0.85699,213,69001737,STALE,0.85697
0.85703,0.85698,0.85699,176,68701737,STALE,0.856995
0.857075,0.85699,0.857035,239,68401737,STALE,0.85699
0.857055,0.85701,0.857035,214,68101737,STALE,0.857035
0.857065,0.85703,0.85706,249,67801737,STALE,0.857035
0.857065,0.857035,0.85705,189,67501737,STALE,0.85706
0.857055,0.85701,0.85702,204,67201737,STALE,0.857055
0.85704,0.857,0.857025,150,66901737,STALE,0.857025
0.85706,0.85701,0.85702,281,66601737,STALE,0.85702
0.857045,0.857,0.85704,248,66301737,STALE,0.85702
0.85708,0.856995,0.856995,260,66001737,STALE,0.85704
0.857045,0.856985,0.85704,213,65701737,STALE,0.856995
0.857055,0.85699,0.856995,283,65401737,STALE,0.85704
0.857015,0.856975,0.857005,139,65101737,STALE,0.856995
0.85701,0.856975,0.857005,140,64801737,STALE,0.857005
0.857035,0.856995,0.857025,170,64501737,STALE,0.857005
0.857045,0.856965,0.85697,237,64201737,STALE,0.857025
0.85699,0.856885,0.85693,575,63901737,STALE,0.856965
0.857,0.856905,0.85697,422,63601737,STALE,0.85693
0.856995,0.856935,0.85695,386,63301737,STALE,0.85697
0.856995,0.856875,0.85692,1027,63001737,STALE,0.856945
0.856935,0.856835,0.856845,967,62701737,STALE,0.856915
0.856875,0.856805,0.856875,652,62401737,STALE,0.85685
0.856885,0.856825,0.85685,416,62101737,STALE,0.85688
0.85691,0.85683,0.8569,779,61801737,STALE,0.856855
0.856955,0.856885,0.8569,640,61501737,STALE,0.856905
0.85693,0.856855,0.856925,538,61201737,STALE,0.856895
0.85693,0.856835,0.85686,621,60901737,STALE,0.85692
0.856875,0.856825,0.85684,523,60601737,STALE,0.856865
0.856885,0.856805,0.856865,612,60301737,STALE,0.856835
0.856905,0.85683,0.856855,640,60001737,STALE,0.85686
0.85696,0.856795,0.85694,709,59701737,STALE,0.856845
0.85695,0.85688,0.85693,899,59401737,STALE,0.856935
0.857005,0.856905,0.857005,745,59101737,STALE,0.856935
0.857085,0.85699,0.857065,404,58801737,STALE,0.857005
0.857125,0.85706,0.85708,566,58501737,STALE,0.85707
0.857115,0.857045,0.85711,762,58201737,STALE,0.857085
0.85713,0.85709,0.85712,325,57901737,STALE,0.857115
0.857255,0.857125,0.857215,1407,57601737,STALE,0.85713
0.857235,0.857175,0.857215,753,57301737,STALE,0.85721
0.85724,0.85718,0.857215,714,57001737,STALE,0.85721
0.857265,0.8572,0.857245,578,56701737,STALE,0.85721
0.857315,0.857235,0.857285,313,56401737,STALE,0.857245
