open,low,close,volume,age,quality,high
1.327425,1.326365,1.326415,0,9386,FRESH,
1.323605,1.323335,1.323335,0,5891043,STALE,1.323615
1.323315,1.322965,1.323205,0,5831043,STALE,1.323515
1.323195,1.323005,1.323265,0,5771043,STALE,1.323305
1.323275,1.323165,1.323915,0,5711043,STALE,1.323985
1.323915,1.323655,1.324125,0,5651043,STALE,1.324165
1.324105,1.323825,1.323825,0,5591043,STALE,1.324405
1.323835,1.323825,1.324215,0,5531043,STALE,1.324495
1.324205,1.324125,1.324255,0,5471043,STALE,1.324385
1.324265,1.324015,1.324075,0,5411043,STALE,1.324265
1.324065,1.323235,1.323525,0,5351043,STALE,1.324085
1.323515,1.323515,1.323715,0,5291043,STALE,1.324045
1.323725,1.323155,1.323185,0,5231043,STALE,1.323785
1.323175,1.323155,1.323955,0,5171043,STALE,1.323965
1.323865,1.323485,1.323845,0,5111043,STALE,1.323995
1.323835,1.323445,1.323535,0,5051043,STALE,1.323845
1.323475,1.323075,1.323125,0,4991043,STALE,1.323555
1.323115,1.322775,1.322775,0,4931043,STALE,1.323215
1.322775,1.322525,1.322595,0,4871043,STALE,1.322885
1.322605,1.322295,1.322695,0,4811043,STALE,1.322705
1.322725,1.322705,1.323175,0,4751043,STALE,1.323175
1.323195,1.323195,1.323355,0,4691043,STALE,1.323525
1.323425,1.323295,1.323575,0,4631043,STALE,1.323695
1.323595,1.323355,1.323535,0,4571043,STALE,1.323635
1.323515,1.323515,1.323775,0,4511043,STALE,1.324025
1.323785,1.323665,1.323675,0,4451043,STALE,1.324055
1.323665,1.323165,1.323165,0,4391043,STALE,1.323715
1.323135,1.322865,1.323195,0,4331043,STALE,1.323345
1.323165,1.323115,1.323615,0,4271043,STALE,1.323635
1.323605,1.323235,1.323445,0,4211043,STALE,1.323635
1.323455,1.323295,1.323355,0,4151043,STALE,1.323505
1.323405,1.323375,1.323805,0,4091043,STALE,1.323805
1.323815,1.323475,1.323485,0,4031043,STALE,1.323985
1.323495,1.323495,1.323715,0,3971043,STALE,1.323795
1.323685,1.323545,1.323555,0,3911043,STALE,1.323865
1.323575,1.323285,1.323545,0,3851043,STALE,1.323585
1.323525,1.323075,1.323235,0,3791043,STALE,1.323585
1.323275,1.323155,1.323395,0,3731043,STALE,1.323545
1.323375,1.323025,1.323145,0,3671043,STALE,1.323445
1.323135,1.322935,1.323295,0,3611043,STALE,1.323425
1.323295,1.323175,1.323635,0,3551043,STALE,1.323665
1.323675,1.323625,1.323805,0,3491043,STALE,1.323865
1.323815,1.323815,1.324395,0,3431043,STALE,1.324445
1.324415,1.324395,1.324435,0,3371043,STALE,1.324775
1.324445,1.324435,1.325185,0,3311043,STALE,1.325185
1.325205,1.325205,1.326135,0,3251043,STALE,1.326205
1.326145,1.325705,1.326075,0,3191043,STALE,1.326155
1.326015,1.325975,1.326705,0,3131043,STALE,1.326705
1.326715,1.326215,1.326405,0,3071043,STALE,1.326835
1.326435,1.326105,1.326175,0,3011043,STALE,1.326455
