open,high,low,close,volume,age,quality
1.329905,1.331195,1.329255,1.330965,0,43637000,STALE
1.330975,1.331105,1.326865,1.327725,0,42737000,STALE
1.327795,1.330805,1.327795,1.330055,0,41837000,STALE
1.330075,1.331795,1.329795,1.330795,0,40937000,STALE
1.330785,1.334145,1.330765,1.333875,0,40037000,STALE
1.333885,1.334265,1.332675,1.333795,0,39137000,STALE
1.333785,1.336865,1.333395,1.336225,0,38237000,STALE
1.336235,1.336245,1.333915,1.334805,0,37337000,STALE
1.334825,1.337215,1.334485,1.336975,0,36437000,STALE
1.336995,1.338375,1.336975,1.337305,0,35537000,STALE
1.337315,1.337825,1.336145,1.336585,0,34637000,STALE
1.336625,1.337905,1.335765,1.337075,0,33737000,STALE
1.337055,1.337415,1.335525,1.335965,0,32837000,STALE
1.336065,1.336415,1.333815,1.334295,0,31937000,STALE
1.334305,1.334795,1.333625,1.334185,0,31037000,STALE
1.334175,1.334525,1.332145,1.332305,0,30137000,STALE
1.332315,1.333305,1.331095,1.331175,0,29237000,STALE
1.331235,1.332955,1.330925,1.332425,0,28337000,STALE
1.332455,1.334455,1.331485,1.334055,0,27437000,STALE
1.334045,1.336275,1.333745,1.335125,0,26537000,STALE
1.335105,1.335995,1.334205,1.335455,0,25637000,STALE
1.335465,1.337195,1.335465,1.336455,0,24737000,STALE
1.336445,1.336875,1.333415,1.334045,0,23837000,STALE
1.334055,1.334445,1.331985,1.332345,0,22937000,STALE
1.332325,1.332535,1.331405,1.332385,0,22037000,STALE
1.332395,1.336105,1.331855,1.335905,0,21137000,STALE
1.335925,1.336735,1.334815,1.335055,0,20237000,STALE
1.335025,1.336235,1.334525,1.334795,0,19337000,STALE
1.334805,1.335325,1.332675,1.333315,0,18437000,STALE
1.333325,1.333405,1.331645,1.332325,0,17537000,STALE
1.332335,1.333045,1.331245,1.332075,0,16637000,STALE
1.332065,1.332865,1.330185,1.330255,0,15737000,STALE
1.330265,1.332795,1.329715,1.332455,0,14837000,STALE
1.332445,1.334695,1.332165,1.334615,0,13937000,STALE
1.334625,1.334905,1.332675,1.333805,0,13037000,STALE
1.333815,1.334955,1.332645,1.334065,0,12137000,STALE
1.334035,1.334555,1.332665,1.334105,0,11237000,STALE
1.334125,1.335665,1.333495,1.335255,0,10337000,STALE
1.335245,1.336535,1.334735,1.335565,0,9437000,STALE
1.335545,1.336275,1.334635,1.335485,0,8537000,STALE
