timestamp,open,high,low,close,volume,symbol,m15_bias,m5_ema5,m5_ema10,m5_ema20,m5_ema50,m5_ema100,m5_ema200,m5_bias,m5_bb_upper,m5_bb_lower,m5_bb_width,m5_bbw_sma_100,m5_rsi7,m5_rsi14,m5_macd,m5_macd_signal,m5_macd_hist,m5_stoch_k,m5_stoch_d,m5_atr14,m5_atr_percentile,m5_atr_zscore,m5_atr_recent_avg,m5_atr_past_avg,m5_adx,m5_di_plus,m5_di_minus,m5_dx,m5_roc,m5_volume,m5_volume_ma20,m5_volume_ratio,m5_volume_spike,m5_volume_trend,m5_slope_10,m5_slope_20,m5_slope_50,m5_support,m5_resistance,m5_pivot,m5_r1,m5_r2,m5_s1,m5_s2,m5_box_duration,m5_box_tightness,m1_ema5,m1_ema10,m1_ema20,m1_ema50,m1_rsi7,m1_rsi14,m1_macd,m1_macd_signal,m1_stoch_k,m1_stoch_d,m1_atr14,m1_support,m1_resistance,m1_bb_upper,m1_bb_lower,m1_pivot,m1_r1,m1_s1,m1_volume,m1_volume_ratio,meta_close,meta_high,meta_low,meta_open,meta_session,meta_data_age_ms,meta_data_quality,ohlcv_close,ohlcv_high,ohlcv_low,ohlcv_open,ohlcv_session,ohlcv_data_age_ms,ohlcv_data_quality,price_action_pattern,price_action_last_candle_bias,price_action_last_candle,price_action_body_strength,price_action_rejection_zone,price_action_wick_dominance,price_action_momentum_bias,price_action_move_quality,price_action_trap_alert,price_action_sr_interaction,behavior_conviction,behavior_hesitation,behavior_pressure_balance,behavior_participation,behavior_behavior,behavior_is_decisive,behavior_confidence,candle_pattern_patterns_detected,candle_pattern_pattern_count,candle_pattern_pattern_strength,candle_pattern_bias,candle_pattern_last_candle_color,candle_pattern_confidence,trap_detector_trap_detected,trap_detector_trap_type,trap_detector_trap_score,trap_detector_false_breakout,trap_detector_stop_hunt,trap_detector_rejection_wick,trap_detector_confidence,conflict_conflict_detected,conflict_conflict_score,conflict_agreement_score,conflict_ema_direction,conflict_momentum_direction,conflict_candle_direction,conflict_conflicting_signals,conflict_all_aligned,conflict_confidence,continuation_continuation_probability,continuation_reversal_probability,continuation_pullback_health,continuation_momentum_intact,continuation_volume_supports_move,continuation_bias,continuation_confidence,continuation_retest_detected,continuation_retest_quality,continuation_retest_type,divergence_divergence_detected,divergence_divergence_type,divergence_rsi_divergence,divergence_macd_divergence,divergence_divergence_strength,divergence_both_confirm,divergence_confidence,efficiency_efficiency_ratio,efficiency_path_efficiency,efficiency_directional_efficiency,efficiency_overall_efficiency,efficiency_movement_quality,efficiency_is_efficient,efficiency_confidence,persistence_persistence_score,persistence_autocorrelation,persistence_max_consecutive_run,persistence_trend_persistence,persistence_is_persistent,persistence_behavior,persistence_confidence,persistence_expansion_persistence,persistence_fatigue_risk,transition_in_transition,transition_transition_type,transition_volatility_shift,transition_momentum_shift,transition_structure_shift,transition_stability_score,transition_is_stable,transition_confidence,analysis_trend_direction,analysis_trend_strength,analysis_trend_type,analysis_volatility_regime,engines_trend_direction,engines_trend_strength,engines_trend_momentum,engines_trend_type,engines_trend_confidence,engines_trend_reversal_risk,engines_trend_sustain_probability,engines_strength_momentum_level,engines_strength_divergence,engines_strength_strength_score,engines_strength_exhaustion_risk,engines_strength_confidence,engines_volatility_regime,engines_volatility_volatility_score,engines_volatility_expansion_probability,engines_volatility_contraction_probability,engines_volatility_volatility_zscore,engines_volatility_spike_detected,engines_volatility_confidence,engines_volatility_bbw_compression_ratio,engines_volatility_compression_quality,engines_structure_structure_type,engines_structure_structure_score,engines_structure_bos_detected,engines_structure_bos_type,engines_structure_key_zones_strong_support,engines_structure_key_zones_strong_resistance,engines_structure_key_zones_middle,engines_structure_zone_proximity,engines_structure_breakout_probability,engines_structure_reversal_probability,engines_structure_confidence,engines_mtf_alignment_score,engines_mtf_dominant_direction,engines_mtf_htf_direction,engines_mtf_ltf_direction,engines_mtf_htf_ltf_conflict,engines_mtf_timeframes_analyzed,engines_mtf_confidence_from_mtf,engines_mtf_confidence,market_state,market_state_full_state,market_state_full_confidence,market_state_full_quality_score,market_state_full_tradeable,market_state_full_stability,market_state_full_description,market_state_full_metrics_volume_ratio,market_state_full_metrics_noise_level,market_state_full_metrics_rsi_extreme_bull,market_state_full_metrics_rsi_extreme_bear,market_state_full_metrics_price_above_ma20,market_state_full_metrics_price_above_ma50,market_state_full_metrics_wick_lower_ratio,market_state_full_metrics_wick_upper_ratio,market_state_full_metrics_compression_detected,market_state_full_metrics_divergence_detected,market_state_full_metrics_volume_surge,market_state_full_metrics_adaptive_adx_threshold,market_state_full_metrics_is_otc,signals_triggered,signals_count,signals_top_signal,market_context_state,market_context_description,market_context_volatility_regime,market_context_news_impact,market_context_expected_volatility_%,market_context_recent_ai_memory,decision_layer_tradeable,decision_layer_tradeable_reason,decision_layer_confidence_score,decision_layer_stability_score,decision_layer_quality_score,decision_layer_risk_level,decision_layer_suggested_expiry_minutes,decision_layer_suggested_action,decision_layer_final_reason_th
2026-06-27 12:40:00,0.860385,0.860385,0.860135,0.860255,1.0,EURGBP-OTC,BEARISH,0.860975,0.861765,0.862647,0.863098,0.86265,0.861946,BEARISH,0.866685,0.859957,0.006727,0.003554,3.36,9.29,-0.00088,-0.000449,-0.000431,4.64,5.3,0.00072,97.49,1.86,0.00069,0.000662,39.52,7.97,36.64,64.28,-0.4709,1,1.0,1.0,False,STABLE,-0.000396,-0.000268,4e-06,0.860085,0.865495,0.860338,0.860592,0.860928,0.860002,0.859748,24,7.51,0.860369,0.860571,0.860936,0.86189,13.97,34.32,-0.000502,-0.000488,13.14,9.95,0.0003,0.860085,0.861865,0.861772,0.860068,0.860258,0.860382,0.860132,1,1.0,0.860255,0.860385,0.860135,0.860385,ASIAN,62989,HIGH,0.860255,0.860385,0.860135,0.860385,ASIAN,62989,HIGH,NONE,BEARISH,BEARISH,WEAK,AT_PIVOT,HIGH_WICK,BEARISH,CLEAN,NONE,TESTING_PIVOT,42,26,-26.666666666666668,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BEARISH,40,False,NONE,0,False,False,False,60,False,0,100,DOWN,DOWN,DOWN,0,True,75,97,3,80,True,True,CONTINUATION,70,True,85.0,BEARISH,False,NONE,False,False,0,False,60,63.48074179742892,34.822051639916715,75.0,57,GOOD,False,75,76,0.12951371209685666,9,30.000000000000004,True,RANDOM,70,49.185673302683504,6.047946490115256,True,MOMENTUM_SHIFT,False,True,True,35,False,70,NONE,100,CHOPPY,EXTREME,NONE,100,-0.4709,CHOPPY,20,50,30,STRONG,NONE,75,45,85,EXTREME,88,40,60,1.86,False,40,1.892796848621272,0.0,RANGING,90,False,NONE,0.860002,0.860592,0.860338,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,ACCUMULATION,ACCUMULATION,50,65,True,32,"Smart money accumulation. Bullish bias, look for breakout.",1.0,0.5,False,True,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,LOW,0.084,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-27 12:41:00,0.860245,0.860375,0.860185,0.860335,1.0,EURGBP-OTC,BEARISH,0.860975,0.861765,0.862647,0.863098,0.86265,0.861946,BEARISH,0.866685,0.859957,0.006727,0.003554,3.36,9.29,-0.00088,-0.000449,-0.000431,4.64,5.3,0.00072,97.49,1.86,0.00069,0.000662,39.52,7.97,36.64,64.28,-0.4709,1,1.0,1.0,False,STABLE,-0.000396,-0.000268,4e-06,0.860085,0.865495,0.860338,0.860592,0.860928,0.860002,0.859748,24,7.51,0.860358,0.860528,0.860879,0.861829,27.55,28.9,-0.00049,-0.000489,17.03,13.61,0.000292,0.860085,0.861685,0.861662,0.860043,0.860298,0.860412,0.860222,1,1.0,0.860335,0.860375,0.860185,0.860245,ASIAN,63348,HIGH,0.860335,0.860375,0.860185,0.860245,ASIAN,63348,HIGH,NONE,BEARISH,BEARISH,WEAK,AT_PIVOT,HIGH_WICK,BEARISH,CLEAN,NONE,TESTING_PIVOT,42,26,-26.666666666666668,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BEARISH,40,False,NONE,0,False,False,False,60,False,0,100,DOWN,DOWN,DOWN,0,True,75,97,3,80,True,True,CONTINUATION,70,True,85.0,BEARISH,False,NONE,False,False,0,False,60,63.48074179742892,34.822051639916715,75.0,57,GOOD,False,75,76,0.12951371209685666,9,30.000000000000004,True,RANDOM,70,49.185673302683504,6.047946490115256,True,MOMENTUM_SHIFT,False,True,True,35,False,70,NONE,100,CHOPPY,EXTREME,NONE,100,-0.4709,CHOPPY,20,50,30,STRONG,NONE,75,45,85,EXTREME,88,40,60,1.86,False,40,1.892796848621272,0.0,RANGING,90,False,NONE,0.860002,0.860592,0.860338,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,ACCUMULATION,ACCUMULATION,50,65,True,32,"Smart money accumulation. Bullish bias, look for breakout.",1.0,0.5,False,True,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,LOW,0.084,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-27 12:42:00,0.860325,0.860595,0.860325,0.860505,1.0,EURGBP-OTC,BEARISH,0.860975,0.861765,0.862647,0.863098,0.86265,0.861946,BEARISH,0.866685,0.859957,0.006727,0.003554,3.36,9.29,-0.00088,-0.000449,-0.000431,4.64,5.3,0.00072,97.49,1.86,0.00069,0.000662,39.52,7.97,36.64,64.28,-0.4709,1,1.0,1.0,False,STABLE,-0.000396,-0.000268,4e-06,0.860085,0.865495,0.860338,0.860592,0.860928,0.860002,0.859748,24,7.51,0.860407,0.860524,0.860843,0.861777,46.81,34.48,-0.000461,-0.000483,21.33,17.17,0.000293,0.860085,0.861455,0.861588,0.860027,0.860475,0.860625,0.860355,1,1.0,0.860505,0.860595,0.860325,0.860325,ASIAN,62647,HIGH,0.860505,0.860595,0.860325,0.860325,ASIAN,62647,HIGH,NONE,BEARISH,BEARISH,WEAK,AT_PIVOT,HIGH_WICK,BEARISH,CLEAN,NONE,TESTING_PIVOT,42,26,-26.666666666666668,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BEARISH,40,False,NONE,0,False,False,False,60,False,0,100,DOWN,DOWN,DOWN,0,True,75,97,3,80,True,True,CONTINUATION,70,True,85.0,BEARISH,False,NONE,False,False,0,False,60,63.48074179742892,34.822051639916715,75.0,57,GOOD,False,75,76,0.12951371209685666,9,30.000000000000004,True,RANDOM,70,49.185673302683504,6.047946490115256,True,MOMENTUM_SHIFT,False,True,True,35,False,70,NONE,100,CHOPPY,EXTREME,NONE,100,-0.4709,CHOPPY,20,50,30,STRONG,NONE,75,45,85,EXTREME,88,40,60,1.86,False,40,1.892796848621272,0.0,RANGING,90,False,NONE,0.860002,0.860592,0.860338,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,ACCUMULATION,ACCUMULATION,50,65,True,32,"Smart money accumulation. Bullish bias, look for breakout.",1.0,0.5,False,True,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,LOW,0.084,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-27 15:14:00,0.861685,0.861685,0.861365,0.861395,1.0,EURGBP-OTC,BEARISH,0.86137,0.861439,0.861347,0.861648,0.861896,0.861909,BEARISH,0.862677,0.859787,0.002889,0.004015,35.42,49.61,5.4e-05,2.3e-05,3.1e-05,40.71,55.81,0.000705,88.94,1.2,0.000706,0.000656,24.9,21.76,24.38,5.67,-0.0975,1,1.0,1.0,False,STABLE,-3.7e-05,7.7e-05,-7.3e-05,0.859575,0.862855,0.861038,0.861432,0.862078,0.860392,0.859998,22,4.65,0.861546,0.861579,0.861627,0.86157,47.5,44.24,-4.6e-05,-2.6e-05,46.72,43.93,0.000252,0.861205,0.862265,0.862153,0.861239,0.861482,0.861598,0.861278,1,1.0,0.861395,0.861685,0.861365,0.861685,LONDON,543077,LOW,0.861395,0.861685,0.861365,0.861685,LONDON,543077,LOW,NONE,BEARISH,BEARISH,WEAK,NONE,LOW_WICK,NEUTRAL,CHAOTIC,NONE,NONE,55,13,-3.4482758620689653,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BEARISH,40,False,NONE,0,False,False,False,60,False,0,100,DOWN,NONE,NONE,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,False,NONE,False,False,0,False,60,4.42890442890496,4.9743964886614185,50.0,19,POOR,False,75,81,0.06136340909298189,5,60.00000000000001,True,RANDOM,70,46.68395946993968,4.601476687621219,False,NONE,False,False,False,100,True,70,NONE,60,CHOPPY,EXTREME,NONE,60,-0.0975,CHOPPY,20,50,30,NORMAL,NONE,60,30,70,EXTREME,88,40,60,1.2,False,40,0.7195516811955168,44.848,RANGING,90,False,NONE,0.859575,0.861432,0.861038,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,ACCUMULATION,ACCUMULATION,50,65,True,27,"Smart money accumulation. Bullish bias, look for breakout.",1.0,0.5,False,False,True,False,0.3,0.3,True,False,False,22,True,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,LOW,0.082,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-27 15:15:00,0.860795,0.860895,0.860645,0.860665,1.0,EURGBP-OTC,BEARISH,0.861148,0.861305,0.861286,0.861611,0.861869,0.861872,BEARISH,0.862631,0.859893,0.002738,0.003974,38.31,44.93,-7e-06,1.7e-05,-2.4e-05,23.73,41.43,0.000696,85.43,1.03,0.000704,0.000663,23.6,20.51,23.5,6.8,-0.0871,1,1.0,1.0,False,STABLE,-8.1e-05,5.1e-05,-6.7e-05,0.859575,0.862855,0.860815,0.861035,0.861365,0.860485,0.860265,23,4.71,0.860934,0.861144,0.861348,0.861455,10.08,22.11,-0.000209,-0.000111,7.94,9.49,0.000276,0.860645,0.861875,0.862079,0.860787,0.860735,0.860825,0.860575,1,1.0,0.860665,0.860895,0.860645,0.860795,LONDON,303540,LOW,0.860665,0.860895,0.860645,0.860795,LONDON,303540,LOW,NONE,BEARISH,BEARISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,TRUE,TESTING_PIVOT,55,13,-6.666666666666667,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BEARISH,40,True,REJECTION,25,False,False,True,70,False,0,100,DOWN,NONE,NONE,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,False,NONE,False,False,0,False,60,7.177033492823474,2.6239067055395635,50.0,19,POOR,False,75,81,0.08092143039923286,5,60.00000000000001,True,RANDOM,70,47.200775227825304,4.016275603813051,True,MOMENTUM_SHIFT,False,True,False,65,True,70,DOWN,80,CHOPPY,EXTREME,DOWN,80,-0.0871,CHOPPY,75,30,75,NORMAL,NONE,60,30,70,EXTREME,88,40,60,1.03,False,40,0.6889783593356819,47.65599999999999,RANGING,90,False,NONE,0.859575,0.861035,0.860815,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,SIDEWAY_RANGE,SIDEWAY_RANGE,50,60,True,27,Price ranging between clear levels. Suitable for mean-reversion strategies.,1.0,0.5,False,False,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,EXTREME,LOW,0.081,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-27 15:16:00,0.860795,0.860895,0.860645,0.860665,1.0,EURGBP-OTC,BEARISH,0.861148,0.861305,0.861286,0.861611,0.861869,0.861872,BEARISH,0.862631,0.859893,0.002738,0.003974,38.31,44.93,-7e-06,1.7e-05,-2.4e-05,23.73,41.43,0.000696,85.43,1.03,0.000704,0.000663,23.6,20.51,23.5,6.8,-0.0871,1,1.0,1.0,False,STABLE,-8.1e-05,5.1e-05,-6.7e-05,0.859575,0.862855,0.860815,0.861035,0.861365,0.860485,0.860265,23,4.71,0.860934,0.861144,0.861348,0.861455,10.08,22.11,-0.000209,-0.000111,7.94,9.49,0.000276,0.860645,0.861875,0.862079,0.860787,0.860735,0.860825,0.860575,1,1.0,0.860665,0.860895,0.860645,0.860795,LONDON,362832,LOW,0.860665,0.860895,0.860645,0.860795,LONDON,362832,LOW,NONE,BEARISH,BEARISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,TRUE,TESTING_PIVOT,55,13,-6.666666666666667,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BEARISH,40,True,REJECTION,25,False,False,True,70,False,0,100,DOWN,NONE,NONE,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,False,NONE,False,False,0,False,60,7.177033492823474,2.6239067055395635,50.0,19,POOR,False,75,81,0.08092143039923286,5,60.00000000000001,True,RANDOM,70,47.200775227825304,4.016275603813051,True,MOMENTUM_SHIFT,False,True,False,65,True,70,DOWN,80,CHOPPY,EXTREME,DOWN,80,-0.0871,CHOPPY,75,30,75,NORMAL,NONE,60,30,70,EXTREME,88,40,60,1.03,False,40,0.6889783593356819,47.65599999999999,RANGING,90,False,NONE,0.859575,0.861035,0.860815,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,ACCUMULATION,ACCUMULATION,50,65,True,27,"Smart money accumulation. Bullish bias, look for breakout.",1.0,0.5,False,False,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,LOW,0.081,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-27 15:18:00,0.860795,0.860895,0.860645,0.860665,1.0,EURGBP-OTC,BEARISH,0.861148,0.861305,0.861286,0.861611,0.861869,0.861872,BEARISH,0.862631,0.859893,0.002738,0.003974,38.31,44.93,-7e-06,1.7e-05,-2.4e-05,23.73,41.43,0.000696,85.43,1.03,0.000704,0.000663,23.6,20.51,23.5,6.8,-0.0871,1,1.0,1.0,False,STABLE,-8.1e-05,5.1e-05,-6.7e-05,0.859575,0.862855,0.860815,0.861035,0.861365,0.860485,0.860265,23,4.71,0.860934,0.861144,0.861348,0.861455,10.08,22.11,-0.000209,-0.000111,7.94,9.49,0.000276,0.860645,0.861875,0.862079,0.860787,0.860735,0.860825,0.860575,1,1.0,0.860665,0.860895,0.860645,0.860795,LONDON,483256,LOW,0.860665,0.860895,0.860645,0.860795,LONDON,483256,LOW,NONE,BEARISH,BEARISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,TRUE,TESTING_PIVOT,55,13,-6.666666666666667,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BEARISH,40,True,REJECTION,25,False,False,True,70,False,0,100,DOWN,NONE,NONE,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,False,NONE,False,False,0,False,60,7.177033492823474,2.6239067055395635,50.0,19,POOR,False,75,81,0.08092143039923286,5,60.00000000000001,True,RANDOM,70,47.200775227825304,4.016275603813051,True,MOMENTUM_SHIFT,False,True,False,65,True,70,DOWN,80,CHOPPY,EXTREME,DOWN,80,-0.0871,CHOPPY,75,30,75,NORMAL,NONE,60,30,70,EXTREME,88,40,60,1.03,False,40,0.6889783593356819,47.65599999999999,RANGING,90,False,NONE,0.859575,0.861035,0.860815,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,ACCUMULATION,ACCUMULATION,50,65,True,27,"Smart money accumulation. Bullish bias, look for breakout.",1.0,0.5,False,False,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,LOW,0.081,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-27 15:19:00,0.860795,0.860895,0.860645,0.860665,1.0,EURGBP-OTC,BEARISH,0.861148,0.861305,0.861286,0.861611,0.861869,0.861872,BEARISH,0.862631,0.859893,0.002738,0.003974,38.31,44.93,-7e-06,1.7e-05,-2.4e-05,23.73,41.43,0.000696,85.43,1.03,0.000704,0.000663,23.6,20.51,23.5,6.8,-0.0871,1,1.0,1.0,False,STABLE,-8.1e-05,5.1e-05,-6.7e-05,0.859575,0.862855,0.860815,0.861035,0.861365,0.860485,0.860265,23,4.71,0.860934,0.861144,0.861348,0.861455,10.08,22.11,-0.000209,-0.000111,7.94,9.49,0.000276,0.860645,0.861875,0.862079,0.860787,0.860735,0.860825,0.860575,1,1.0,0.860665,0.860895,0.860645,0.860795,LONDON,542602,LOW,0.860665,0.860895,0.860645,0.860795,LONDON,542602,LOW,NONE,BEARISH,BEARISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,TRUE,TESTING_PIVOT,55,13,-6.666666666666667,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BEARISH,40,True,REJECTION,25,False,False,True,70,False,0,100,DOWN,NONE,NONE,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,False,NONE,False,False,0,False,60,7.177033492823474,2.6239067055395635,50.0,19,POOR,False,75,81,0.08092143039923286,5,60.00000000000001,True,RANDOM,70,47.200775227825304,4.016275603813051,True,MOMENTUM_SHIFT,False,True,False,65,True,70,DOWN,80,CHOPPY,EXTREME,DOWN,80,-0.0871,CHOPPY,75,30,75,NORMAL,NONE,60,30,70,EXTREME,88,40,60,1.03,False,40,0.6889783593356819,47.65599999999999,RANGING,90,False,NONE,0.859575,0.861035,0.860815,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,ACCUMULATION,ACCUMULATION,50,65,True,27,"Smart money accumulation. Bullish bias, look for breakout.",1.0,0.5,False,False,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,LOW,0.081,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-27 15:20:00,0.860715,0.860795,0.860595,0.860775,1.0,EURGBP-OTC,BEARISH,0.860961,0.861174,0.861219,0.861571,0.861843,0.861853,BEARISH,0.862613,0.859935,0.002678,0.003934,28.94,44.33,-6.4e-05,0.0,-6.5e-05,5.54,23.33,0.00071,92.46,1.12,0.000704,0.000668,22.64,19.24,23.54,10.04,-0.1311,1,1.0,1.0,False,STABLE,-0.000131,2.7e-05,-6.2e-05,0.859575,0.862855,0.860692,0.860928,0.861272,0.860348,0.860112,24,4.62,0.860839,0.860951,0.86115,0.861344,42.86,31.47,-0.000233,-0.000189,22.97,24.84,0.000292,0.860595,0.861785,0.861973,0.860483,0.860722,0.860848,0.860648,1,1.0,0.860775,0.860795,0.860595,0.860715,LONDON,303003,LOW,0.860775,0.860795,0.860595,0.860715,LONDON,303003,LOW,NONE,BEARISH,BEARISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,NONE,TESTING_PIVOT,53,16,-13.333333333333334,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BEARISH,40,False,NONE,0,False,False,False,60,False,0,100,DOWN,NONE,NONE,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,False,NONE,False,False,0,False,60,2.91262135922351,0.14566642388863038,55.00000000000001,19,POOR,False,75,79,0.08184969367709691,5,50.0,True,RANDOM,70,47.984572653541925,3.2287019094684455,True,MOMENTUM_SHIFT,False,True,False,65,True,70,DOWN,100,IMPULSIVE,EXTREME,DOWN,100,-0.1311,IMPULSIVE,85,30,85,NORMAL,NONE,60,30,70,EXTREME,88,40,60,1.12,False,40,0.6807320793085917,42.032000000000004,RANGING,90,False,NONE,0.859575,0.860928,0.860692,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,ACCUMULATION,ACCUMULATION,50,65,True,26,"Smart money accumulation. Bullish bias, look for breakout.",1.0,0.5,False,False,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,LOW,0.082,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-27 15:22:00,0.860715,0.860795,0.860595,0.860775,1.0,EURGBP-OTC,BEARISH,0.860961,0.861174,0.861219,0.861571,0.861843,0.861853,BEARISH,0.862613,0.859935,0.002678,0.003934,28.94,44.33,-6.4e-05,0.0,-6.5e-05,5.54,23.33,0.00071,92.46,1.12,0.000704,0.000668,22.64,19.24,23.54,10.04,-0.1311,1,1.0,1.0,False,STABLE,-0.000131,2.7e-05,-6.2e-05,0.859575,0.862855,0.860692,0.860928,0.861272,0.860348,0.860112,24,4.62,0.860839,0.860951,0.86115,0.861344,42.86,31.47,-0.000233,-0.000189,22.97,24.84,0.000292,0.860595,0.861785,0.861973,0.860483,0.860722,0.860848,0.860648,1,1.0,0.860775,0.860795,0.860595,0.860715,LONDON,422856,LOW,0.860775,0.860795,0.860595,0.860715,LONDON,422856,LOW,NONE,BEARISH,BEARISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,NONE,TESTING_PIVOT,53,16,-13.333333333333334,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BEARISH,40,False,NONE,0,False,False,False,60,False,0,100,DOWN,NONE,NONE,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,False,NONE,False,False,0,False,60,2.91262135922351,0.14566642388863038,55.00000000000001,19,POOR,False,75,79,0.08184969367709691,5,50.0,True,RANDOM,70,47.984572653541925,3.2287019094684455,True,MOMENTUM_SHIFT,False,True,False,65,True,70,DOWN,100,IMPULSIVE,EXTREME,DOWN,100,-0.1311,IMPULSIVE,85,30,85,NORMAL,NONE,60,30,70,EXTREME,88,40,60,1.12,False,40,0.6807320793085917,42.032000000000004,RANGING,90,False,NONE,0.859575,0.860928,0.860692,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,ACCUMULATION,ACCUMULATION,50,65,True,26,"Smart money accumulation. Bullish bias, look for breakout.",1.0,0.5,False,False,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,LOW,0.082,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
