timestamp,open,high,low,close,volume,symbol,m15_bias,m5_ema5,m5_ema10,m5_ema20,m5_ema50,m5_ema100,m5_ema200,m5_bias,m5_bb_upper,m5_bb_lower,m5_bb_width,m5_bbw_sma_100,m5_rsi7,m5_rsi14,m5_macd,m5_macd_signal,m5_macd_hist,m5_stoch_k,m5_stoch_d,m5_atr14,m5_atr_percentile,m5_atr_zscore,m5_atr_recent_avg,m5_atr_past_avg,m5_adx,m5_di_plus,m5_di_minus,m5_dx,m5_roc,m5_volume,m5_volume_ma20,m5_volume_ratio,m5_volume_spike,m5_slope_10,m5_slope_20,m5_slope_50,m5_pivot,m5_r1,m5_r2,m5_s1,m5_s2,m5_box_duration,m5_box_tightness,m5_support,m5_resistance,m5_volume_trend,m1_ema5,m1_ema10,m1_ema20,m1_ema50,m1_rsi7,m1_rsi14,m1_macd,m1_macd_signal,m1_stoch_k,m1_stoch_d,m1_atr14,m1_bb_upper,m1_bb_lower,m1_pivot,m1_r1,m1_s1,m1_volume,m1_volume_ratio,meta_close,meta_high,meta_low,meta_open,meta_session,meta_data_age_ms,meta_data_quality,ohlcv_close,ohlcv_high,ohlcv_low,ohlcv_open,ohlcv_session,ohlcv_data_age_ms,ohlcv_data_quality,price_action_pattern,price_action_last_candle_bias,price_action_last_candle,price_action_body_strength,price_action_rejection_zone,price_action_wick_dominance,price_action_momentum_bias,price_action_move_quality,price_action_trap_alert,price_action_sr_interaction,price_action_volume_momentum,behavior_conviction,behavior_hesitation,behavior_pressure_balance,behavior_participation,behavior_behavior,behavior_is_decisive,behavior_confidence,candle_pattern_patterns_detected,candle_pattern_pattern_count,candle_pattern_pattern_strength,candle_pattern_bias,candle_pattern_last_candle_color,candle_pattern_confidence,trap_detector_trap_detected,trap_detector_trap_type,trap_detector_trap_score,trap_detector_false_breakout,trap_detector_stop_hunt,trap_detector_rejection_wick,trap_detector_confidence,conflict_conflict_detected,conflict_conflict_score,conflict_agreement_score,conflict_ema_direction,conflict_momentum_direction,conflict_candle_direction,conflict_conflicting_signals,conflict_all_aligned,conflict_confidence,continuation_continuation_probability,continuation_reversal_probability,continuation_pullback_health,continuation_momentum_intact,continuation_volume_supports_move,continuation_bias,continuation_confidence,continuation_retest_detected,continuation_retest_quality,continuation_retest_type,divergence_divergence_detected,divergence_divergence_type,divergence_rsi_divergence,divergence_macd_divergence,divergence_divergence_strength,divergence_both_confirm,divergence_confidence,efficiency_efficiency_ratio,efficiency_path_efficiency,efficiency_directional_efficiency,efficiency_overall_efficiency,efficiency_movement_quality,efficiency_is_efficient,efficiency_confidence,persistence_persistence_score,persistence_autocorrelation,persistence_max_consecutive_run,persistence_trend_persistence,persistence_is_persistent,persistence_behavior,persistence_confidence,persistence_expansion_persistence,persistence_fatigue_risk,transition_in_transition,transition_transition_type,transition_volatility_shift,transition_momentum_shift,transition_structure_shift,transition_stability_score,transition_is_stable,transition_confidence,analysis_trend_direction,analysis_trend_strength,analysis_trend_type,analysis_volatility_regime,engines_trend_direction,engines_trend_strength,engines_trend_momentum,engines_trend_type,engines_trend_confidence,engines_trend_reversal_risk,engines_trend_sustain_probability,engines_strength_momentum_level,engines_strength_divergence,engines_strength_strength_score,engines_strength_exhaustion_risk,engines_strength_confidence,engines_volatility_regime,engines_volatility_volatility_score,engines_volatility_expansion_probability,engines_volatility_contraction_probability,engines_volatility_volatility_zscore,engines_volatility_spike_detected,engines_volatility_confidence,engines_volatility_bbw_compression_ratio,engines_volatility_compression_quality,engines_structure_structure_type,engines_structure_structure_score,engines_structure_bos_detected,engines_structure_bos_type,engines_structure_key_zones_strong_support,engines_structure_key_zones_strong_resistance,engines_structure_key_zones_middle,engines_structure_zone_proximity,engines_structure_breakout_probability,engines_structure_reversal_probability,engines_structure_confidence,engines_mtf_directions_by_tf_M1,engines_mtf_directions_by_tf_M5,engines_mtf_directions_by_tf_M15,engines_mtf_alignment_score,engines_mtf_dominant_direction,engines_mtf_htf_direction,engines_mtf_ltf_direction,engines_mtf_htf_ltf_conflict,engines_mtf_timeframes_analyzed,engines_mtf_confidence_from_mtf,engines_mtf_confidence,market_state,market_state_full_state,market_state_full_confidence,market_state_full_quality_score,market_state_full_tradeable,market_state_full_stability,market_state_full_description,market_state_full_metrics_volume_ratio,market_state_full_metrics_noise_level,market_state_full_metrics_rsi_extreme_bull,market_state_full_metrics_rsi_extreme_bear,market_state_full_metrics_price_above_ma20,market_state_full_metrics_price_above_ma50,market_state_full_metrics_wick_lower_ratio,market_state_full_metrics_wick_upper_ratio,market_state_full_metrics_compression_detected,market_state_full_metrics_divergence_detected,market_state_full_metrics_volume_surge,market_state_full_metrics_adaptive_adx_threshold,market_state_full_metrics_is_otc,signals_triggered,signals_count,signals_top_signal,market_context_state,market_context_description,market_context_volatility_regime,market_context_news_impact,market_context_expected_volatility_%,market_context_recent_ai_memory,decision_layer_tradeable,decision_layer_tradeable_reason,decision_layer_confidence_score,decision_layer_stability_score,decision_layer_quality_score,decision_layer_risk_level,decision_layer_suggested_expiry_minutes,decision_layer_suggested_action,decision_layer_final_reason_th
2026-06-30 20:02:00,1.139615,1.139695,1.139525,1.139675,85.0,EURUSD,BULLISH,1.139697,1.139624,1.139577,1.139575,1.139754,1.140319,BULLISH,1.140092,1.138861,0.001232,0.001565,52.03,51.56,3.6e-05,-9e-06,4.5e-05,67.83,76.32,0.000443,99.0,1.75,0.000425,0.000395,14.15,22.21,17.12,12.95,0.014,88,667.8,0.132,False,7.3e-05,1.9e-05,4e-06,1.139632,1.139738,1.139802,1.139568,1.139462,50,3.75,1.13933,1.140295,LOW_MOMENTUM,1.139772,1.139812,1.139751,1.139599,41.06,49.1,9.8e-05,0.000131,33.85,47.67,0.000182,1.140242,1.139295,1.139632,1.139738,1.139568,85,0.629,1.139675,1.139695,1.139525,1.139615,LONDON,124401,LOW,1.139675,1.139695,1.139525,1.139615,LONDON,124401,LOW,NONE,BULLISH,BULLISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,TRUE,TESTING_PIVOT,LOW_MOMENTUM,47,30,2.315789473680812,46,NEUTRAL,False,70,[],0,0,NEUTRAL,BULLISH,40,True,BULL_TRAP,50,True,False,False,70,False,0,100,UP,NONE,NONE,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BEARISH,True,True,90,True,70,1.718213058419139,0.0528541226219106,55.00000000000001,18,POOR,False,75,48,-0.27012617025672253,5,19.999999999999996,False,MEAN_REVERTING,70,38.88180250793,11.324640479949212,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,80,CHOPPY,EXTREME,NONE,80,0.014,CHOPPY,20,50,30,WEAK,NONE,50,30,60,EXTREME,88,40,60,1.75,False,40,0.787220447284345,36.8,RANGING,90,False,NONE,1.13933,1.139738,1.139632,FAR,30,50,85,NONE,UP,NONE,33,UP,NONE,NONE,False,"['M1', 'M5', 'M15']",33,33,SIDEWAY_RANGE,SIDEWAY_RANGE,63,40,True,23,Price ranging between clear levels. Suitable for mean-reversion strategies.,0.132,0.5,False,False,True,True,0.3,0.3,True,False,False,22,False,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,EXTREME,LOW,0.039,[],True,Passed basic checks,0,33,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:04:00,1.139615,1.139695,1.139525,1.139675,85.0,EURUSD,BEARISH,1.139682,1.139615,1.139573,1.139574,1.139753,1.140319,BULLISH,1.140088,1.138861,0.001227,0.001565,51.01,50.95,3.3e-05,-1e-05,4.2e-05,66.78,75.97,0.000447,99.0,1.79,0.000425,0.000395,13.96,22.0,17.91,10.24,0.0101,408,683.8,0.597,False,7.1e-05,1.9e-05,4e-06,1.139597,1.139728,1.139827,1.139498,1.139367,50,3.71,1.13933,1.140295,NORMAL,1.139772,1.139812,1.139751,1.139599,41.06,49.1,9.8e-05,0.000131,33.85,47.67,0.000182,1.140242,1.139295,1.139632,1.139738,1.139568,85,0.629,1.139675,1.139695,1.139525,1.139615,LONDON,243797,LOW,1.139675,1.139695,1.139525,1.139615,LONDON,243797,LOW,DOJI,BULLISH,BULLISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,TRUE,TESTING_PIVOT,NORMAL,46,33,1.694915254232823,51,NEUTRAL,False,70,['DOJI'],1,20,NEUTRAL,BULLISH,60,True,BULL_TRAP,75,True,False,True,70,False,0,100,UP,NONE,NONE,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BEARISH,True,True,90,True,70,2.510822510823736,0.4201680672273122,55.00000000000001,19,POOR,False,75,48,-0.262642732403218,5,19.999999999999996,False,MEAN_REVERTING,70,39.16463928153799,10.985641260917202,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,80,CHOPPY,EXTREME,NONE,80,0.0101,CHOPPY,20,50,30,WEAK,NONE,50,30,60,EXTREME,88,40,60,1.79,False,40,0.7840255591054314,36.8,RANGING,90,False,NONE,1.13933,1.139728,1.139597,FAR,30,50,85,NONE,UP,DOWN,33,NONE,DOWN,NONE,False,"['M1', 'M5', 'M15']",33,33,SIDEWAY_RANGE,SIDEWAY_RANGE,61,60,True,23,Price ranging between clear levels. Suitable for mean-reversion strategies.,0.597,0.5,False,False,True,True,0.3,0.3,True,False,False,22,False,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,EXTREME,LOW,0.039,[],True,Passed basic checks,0,33,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:05:00,1.139615,1.139695,1.139525,1.139675,85.0,EURUSD,BEARISH,1.139648,1.139597,1.139564,1.13957,1.139748,1.140295,BEARISH,1.140079,1.13886,0.001219,0.001565,48.66,49.57,2.5e-05,-1.1e-05,3.6e-05,64.45,75.19,0.000448,98.99,1.92,0.000425,0.000395,13.96,21.93,17.85,10.24,0.0013,523,689.55,0.758,False,6.6e-05,1.7e-05,4e-06,1.13957,1.139675,1.13982,1.139425,1.13932,50,3.71,1.13933,1.140295,NORMAL,1.139772,1.139812,1.139751,1.139599,41.06,49.1,9.8e-05,0.000131,33.85,47.67,0.000182,1.140242,1.139295,1.139632,1.139738,1.139568,85,0.629,1.139675,1.139695,1.139525,1.139615,LONDON,305905,LOW,1.139675,1.139695,1.139525,1.139615,LONDON,305905,LOW,NONE,BEARISH,BEARISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,TRUE,TESTING_PIVOT,NORMAL,47,30,0.27972027971591024,53,NEUTRAL,False,70,[],0,0,NEUTRAL,BEARISH,40,True,BULL_TRAP,50,True,False,False,70,False,0,100,DOWN,NONE,NONE,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BEARISH,True,True,90,True,70,4.20600858369204,1.4675052410904346,60.0,21,POOR,False,75,49,-0.24551155359321797,5,30.000000000000004,False,RANDOM,70,39.81924118527785,10.294443043591869,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,80,CHOPPY,EXTREME,NONE,80,0.0013,CHOPPY,20,50,30,WEAK,BEARISH,50,30,60,EXTREME,88,40,60,1.92,False,40,0.7789137380191694,36.808,RANGING,90,False,NONE,1.13933,1.139675,1.13957,FAR,30,50,85,NONE,DOWN,DOWN,66,DOWN,DOWN,NONE,False,"['M1', 'M5', 'M15']",66,66,SIDEWAY_RANGE,SIDEWAY_RANGE,59,60,True,23,Price ranging between clear levels. Suitable for mean-reversion strategies.,0.758,0.5,False,False,True,True,0.3,0.3,True,False,False,22,False,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,EXTREME,LOW,0.039,[],True,Passed basic checks,0,66,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:12:00,1.14013,1.14026,1.14013,1.14019,121.0,EURUSD,BULLISH,1.139937,1.139784,1.139672,1.139615,1.139761,1.14027,BULLISH,1.140265,1.138812,0.001453,0.001584,62.43,57.91,0.000103,2.4e-05,7.9e-05,75.87,67.48,0.000442,98.0,1.85,0.000436,0.000407,15.58,27.51,15.61,27.59,0.0944,105,672.65,0.156,False,9e-05,3.6e-05,6e-06,1.140195,1.14026,1.140325,1.14013,1.140065,50,3.76,1.13933,1.140295,LOW_MOMENTUM,1.140013,1.1399,1.139814,1.139669,75.9,65.46,0.000101,6.5e-05,83.81,70.82,0.000168,1.140328,1.139376,1.140193,1.140257,1.140127,121,0.983,1.14019,1.14026,1.14013,1.14013,LONDON,123881,LOW,1.14019,1.14026,1.14013,1.14013,LONDON,123881,LOW,NONE,BULLISH,BULLISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,NOISY,NONE,TESTING_PIVOT,LOW_MOMENTUM,49,26,3.322033898302803,40,NEUTRAL,False,70,[],0,0,NEUTRAL,BULLISH,40,False,NONE,0,False,False,False,60,False,0,100,UP,NONE,NONE,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BEARISH,True,True,90,True,70,15.551839464884898,15.039164490862223,50.0,26,POOR,False,75,46,-0.23163123888392417,5,9.999999999999998,False,RANDOM,70,40.63182231089811,10.20205547094472,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,80,CHOPPY,EXTREME,NONE,80,0.0944,CHOPPY,20,50,30,WEAK,NONE,50,30,60,EXTREME,88,40,60,1.85,False,40,0.9172979797979799,25.870202020202015,RANGING,90,False,NONE,1.13933,1.14026,1.140195,FAR,30,50,85,UP,UP,NONE,66,UP,NONE,UP,False,"['M1', 'M5', 'M15']",66,66,SIDEWAY_RANGE,SIDEWAY_RANGE,54,31,False,9,Price ranging between clear levels. Suitable for mean-reversion strategies.,0.156,0.8,False,False,True,True,0.3,0.3,True,False,False,22,False,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,EXTREME,LOW,0.039,[],False,Passed basic checks,0,66,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:32:00,1.1402,1.140365,1.140135,1.140205,216.0,EURUSD,BULLISH,1.140161,1.140023,1.139852,1.139704,1.139795,1.14026,BULLISH,1.14053,1.138871,0.001659,0.001599,58.13,56.29,0.00018,0.000107,7.4e-05,72.12,77.97,0.000448,96.0,1.77,0.000457,0.000408,20.72,26.32,12.78,34.62,0.0579,221,648.25,0.341,False,6.8e-05,5.8e-05,9e-06,1.140238,1.140342,1.140468,1.140112,1.140008,22,4.1,1.139435,1.1407,LOW_MOMENTUM,1.140199,1.140218,1.140187,1.13999,48.99,52.36,7.1e-05,0.00011,24.41,30.57,0.000175,1.140626,1.139878,1.140235,1.140335,1.140105,216,1.823,1.140205,1.140365,1.140135,1.1402,LONDON,125151,LOW,1.140205,1.140365,1.140135,1.1402,LONDON,125151,LOW,DOJI,BULLISH,BULLISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,TRUE,TESTING_PIVOT,LOW_MOMENTUM,49,30,-5.586027796856359e-12,38,NEUTRAL,False,70,['DOJI'],1,20,NEUTRAL,BULLISH,60,True,BULL_TRAP,75,True,False,True,70,False,0,100,UP,NONE,NONE,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BEARISH,True,False,50,False,70,13.084112149531895,9.83606557376894,55.00000000000001,25,POOR,False,75,48,-0.30702188996457414,5,19.999999999999996,False,MEAN_REVERTING,70,35.61494505561525,15.094234023841862,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,80,CHOPPY,EXTREME,NONE,80,0.0579,CHOPPY,20,50,30,NORMAL,NONE,60,30,70,EXTREME,88,40,60,1.77,False,40,1.0375234521575987,15.447654784240136,RANGING,90,False,NONE,1.139435,1.140342,1.140238,FAR,30,50,85,UP,UP,NONE,66,UP,NONE,UP,False,"['M1', 'M5', 'M15']",66,66,SIDEWAY_RANGE,SIDEWAY_RANGE,54,40,True,26,Price ranging between clear levels. Suitable for mean-reversion strategies.,0.341,0.5,False,False,True,True,0.3,0.3,True,False,False,22,False,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,EXTREME,UNKNOWN,0.039,[],True,Passed basic checks,0,66,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:33:00,1.1402,1.140365,1.140135,1.140205,216.0,EURUSD,BULLISH,1.140161,1.140023,1.139852,1.139704,1.139795,1.14026,BULLISH,1.14053,1.138871,0.001659,0.001599,58.13,56.29,0.00018,0.000107,7.4e-05,72.12,77.97,0.000448,96.0,1.77,0.000457,0.000408,20.72,26.32,12.78,34.62,0.0579,221,648.25,0.341,False,6.8e-05,5.8e-05,9e-06,1.140238,1.140342,1.140468,1.140112,1.140008,22,4.1,1.139435,1.1407,LOW_MOMENTUM,1.140199,1.140218,1.140187,1.13999,48.99,52.36,7.1e-05,0.00011,24.41,30.57,0.000175,1.140626,1.139878,1.140235,1.140335,1.140105,216,1.823,1.140205,1.140365,1.140135,1.1402,LONDON,184692,LOW,1.140205,1.140365,1.140135,1.1402,LONDON,184692,LOW,DOJI,BULLISH,BULLISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,TRUE,TESTING_PIVOT,LOW_MOMENTUM,49,30,-5.586027796856359e-12,38,NEUTRAL,False,70,['DOJI'],1,20,NEUTRAL,BULLISH,60,True,BULL_TRAP,75,True,False,True,70,False,0,100,UP,NONE,NONE,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BEARISH,True,False,50,False,70,13.084112149531895,9.83606557376894,55.00000000000001,25,POOR,False,75,48,-0.30702188996457414,5,19.999999999999996,False,MEAN_REVERTING,70,35.61494505561525,15.094234023841862,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,80,CHOPPY,EXTREME,NONE,80,0.0579,CHOPPY,20,50,30,NORMAL,NONE,60,30,70,EXTREME,88,40,60,1.77,False,40,1.0375234521575987,15.447654784240136,RANGING,90,False,NONE,1.139435,1.140342,1.140238,FAR,30,50,85,UP,UP,NONE,66,UP,NONE,UP,False,"['M1', 'M5', 'M15']",66,66,SIDEWAY_RANGE,SIDEWAY_RANGE,54,40,True,26,Price ranging between clear levels. Suitable for mean-reversion strategies.,0.341,0.5,False,False,True,True,0.3,0.3,True,False,False,22,False,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,EXTREME,UNKNOWN,0.039,[],True,Passed basic checks,0,66,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:34:00,1.1402,1.140365,1.140135,1.140205,216.0,EURUSD,BULLISH,1.140161,1.140023,1.139852,1.139704,1.139795,1.14026,BULLISH,1.14053,1.138871,0.001659,0.001599,58.13,56.29,0.00018,0.000107,7.4e-05,72.12,77.97,0.000448,96.0,1.77,0.000457,0.000408,20.72,26.32,12.78,34.62,0.0579,221,648.25,0.341,False,6.8e-05,5.8e-05,9e-06,1.140238,1.140342,1.140468,1.140112,1.140008,22,4.1,1.139435,1.1407,LOW_MOMENTUM,1.140199,1.140218,1.140187,1.13999,48.99,52.36,7.1e-05,0.00011,24.41,30.57,0.000175,1.140626,1.139878,1.140235,1.140335,1.140105,216,1.823,1.140205,1.140365,1.140135,1.1402,LONDON,244213,LOW,1.140205,1.140365,1.140135,1.1402,LONDON,244213,LOW,DOJI,BULLISH,BULLISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,TRUE,TESTING_PIVOT,LOW_MOMENTUM,49,30,-5.586027796856359e-12,38,NEUTRAL,False,70,['DOJI'],1,20,NEUTRAL,BULLISH,60,True,BULL_TRAP,75,True,False,True,70,False,0,100,UP,NONE,NONE,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BEARISH,True,False,50,False,70,13.084112149531895,9.83606557376894,55.00000000000001,25,POOR,False,75,48,-0.30702188996457414,5,19.999999999999996,False,MEAN_REVERTING,70,35.61494505561525,15.094234023841862,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,80,CHOPPY,EXTREME,NONE,80,0.0579,CHOPPY,20,50,30,NORMAL,NONE,60,30,70,EXTREME,88,40,60,1.77,False,40,1.0375234521575987,15.447654784240136,RANGING,90,False,NONE,1.139435,1.140342,1.140238,FAR,30,50,85,UP,UP,NONE,66,UP,NONE,UP,False,"['M1', 'M5', 'M15']",66,66,SIDEWAY_RANGE,SIDEWAY_RANGE,54,40,True,26,Price ranging between clear levels. Suitable for mean-reversion strategies.,0.341,0.5,False,False,True,True,0.3,0.3,True,False,False,22,False,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,EXTREME,UNKNOWN,0.039,[],True,Passed basic checks,0,66,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:35:00,1.1402,1.140365,1.140135,1.140205,216.0,EURUSD,BULLISH,1.140054,1.139965,1.139821,1.139691,1.139789,1.140257,BULLISH,1.140486,1.138883,0.001602,0.001599,49.56,51.77,0.000155,0.000102,5.3e-05,66.3,76.03,0.000473,99.5,2.02,0.000459,0.000408,19.83,24.53,15.64,22.13,0.0298,802,677.3,1.184,False,5.1e-05,5.3e-05,8e-06,1.140013,1.140247,1.140598,1.139662,1.139428,22,3.88,1.139435,1.1407,NORMAL,1.140199,1.140218,1.140187,1.13999,48.99,52.36,7.1e-05,0.00011,24.41,30.57,0.000175,1.140626,1.139878,1.140235,1.140335,1.140105,216,1.823,1.140205,1.140365,1.140135,1.1402,LONDON,304892,LOW,1.140205,1.140365,1.140135,1.1402,LONDON,304892,LOW,BEARISH_ENGULFING,BEARISH,BEARISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,TRUE,TESTING_PIVOT,NORMAL,51,26,-3.8834951456350444,47,NEUTRAL,False,70,['BEARISH_ENGULFING'],1,20,BEARISH,BEARISH,60,True,BULL_TRAP,50,True,False,False,70,False,0,100,UP,NONE,NONE,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BEARISH,True,False,50,False,70,6.773618538325656,6.102051551814893,50.0,20,POOR,False,75,48,-0.30379519091136203,5,19.999999999999996,False,MEAN_REVERTING,70,36.04253068046715,14.267363364990294,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,80,CHOPPY,EXTREME,NONE,80,0.0298,CHOPPY,20,50,30,WEAK,NONE,50,30,60,EXTREME,88,40,60,2.02,True,40,1.00187617260788,16.21238273921201,RANGING,90,False,NONE,1.139435,1.140247,1.140013,FAR,30,50,85,UP,UP,NONE,66,UP,NONE,UP,False,"['M1', 'M5', 'M15']",66,66,ACCUMULATION,ACCUMULATION,50,65,True,25,"Smart money accumulation. Bullish bias, look for breakout.",1.184,0.5,False,False,True,True,0.3,0.3,True,False,False,22,False,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,UNKNOWN,0.041,[],True,Passed basic checks,0,66,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:36:00,1.1402,1.140365,1.140135,1.140205,216.0,EURUSD,BULLISH,1.140054,1.139965,1.139821,1.139691,1.139789,1.140257,BULLISH,1.140486,1.138883,0.001602,0.001599,49.56,51.77,0.000155,0.000102,5.3e-05,66.3,76.03,0.000473,99.5,2.02,0.000459,0.000408,19.83,24.53,15.64,22.13,0.0298,802,677.3,1.184,False,5.1e-05,5.3e-05,8e-06,1.140013,1.140247,1.140598,1.139662,1.139428,22,3.88,1.139435,1.1407,NORMAL,1.140199,1.140218,1.140187,1.13999,48.99,52.36,7.1e-05,0.00011,24.41,30.57,0.000175,1.140626,1.139878,1.140235,1.140335,1.140105,216,1.823,1.140205,1.140365,1.140135,1.1402,LONDON,364295,LOW,1.140205,1.140365,1.140135,1.1402,LONDON,364295,LOW,BEARISH_ENGULFING,BEARISH,BEARISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,TRUE,TESTING_PIVOT,NORMAL,51,26,-3.8834951456350444,47,NEUTRAL,False,70,['BEARISH_ENGULFING'],1,20,BEARISH,BEARISH,60,True,BULL_TRAP,50,True,False,False,70,False,0,100,UP,NONE,NONE,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BEARISH,True,False,50,False,70,6.773618538325656,6.102051551814893,50.0,20,POOR,False,75,48,-0.30379519091136203,5,19.999999999999996,False,MEAN_REVERTING,70,36.04253068046715,14.267363364990294,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,80,CHOPPY,EXTREME,NONE,80,0.0298,CHOPPY,20,50,30,WEAK,NONE,50,30,60,EXTREME,88,40,60,2.02,True,40,1.00187617260788,16.21238273921201,RANGING,90,False,NONE,1.139435,1.140247,1.140013,FAR,30,50,85,UP,UP,NONE,66,UP,NONE,UP,False,"['M1', 'M5', 'M15']",66,66,ACCUMULATION,ACCUMULATION,50,65,True,25,"Smart money accumulation. Bullish bias, look for breakout.",1.184,0.5,False,False,True,True,0.3,0.3,True,False,False,22,False,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,UNKNOWN,0.041,[],True,Passed basic checks,0,66,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:37:00,1.1402,1.140365,1.140135,1.140205,216.0,EURUSD,BULLISH,1.140054,1.139965,1.139821,1.139691,1.139789,1.140257,BULLISH,1.140486,1.138883,0.001602,0.001599,49.56,51.77,0.000155,0.000102,5.3e-05,66.3,76.03,0.000473,99.5,2.02,0.000459,0.000408,19.83,24.53,15.64,22.13,0.0298,802,677.3,1.184,False,5.1e-05,5.3e-05,8e-06,1.140013,1.140247,1.140598,1.139662,1.139428,22,3.88,1.139435,1.1407,NORMAL,1.140199,1.140218,1.140187,1.13999,48.99,52.36,7.1e-05,0.00011,24.41,30.57,0.000175,1.140626,1.139878,1.140235,1.140335,1.140105,216,1.823,1.140205,1.140365,1.140135,1.1402,LONDON,424019,LOW,1.140205,1.140365,1.140135,1.1402,LONDON,424019,LOW,BEARISH_ENGULFING,BEARISH,BEARISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,TRUE,TESTING_PIVOT,NORMAL,51,26,-3.8834951456350444,47,NEUTRAL,False,70,['BEARISH_ENGULFING'],1,20,BEARISH,BEARISH,60,True,BULL_TRAP,50,True,False,False,70,False,0,100,UP,NONE,NONE,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BEARISH,True,False,50,False,70,6.773618538325656,6.102051551814893,50.0,20,POOR,False,75,48,-0.30379519091136203,5,19.999999999999996,False,MEAN_REVERTING,70,36.04253068046715,14.267363364990294,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,80,CHOPPY,EXTREME,NONE,80,0.0298,CHOPPY,20,50,30,WEAK,NONE,50,30,60,EXTREME,88,40,60,2.02,True,40,1.00187617260788,16.21238273921201,RANGING,90,False,NONE,1.139435,1.140247,1.140013,FAR,30,50,85,UP,UP,NONE,66,UP,NONE,UP,False,"['M1', 'M5', 'M15']",66,66,ACCUMULATION,ACCUMULATION,50,65,True,25,"Smart money accumulation. Bullish bias, look for breakout.",1.184,0.5,False,False,True,True,0.3,0.3,True,False,False,22,False,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,UNKNOWN,0.041,[],True,Passed basic checks,0,66,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
