timestamp,open,high,low,close,volume,symbol,m15_bias,m5_ema5,m5_ema10,m5_ema20,m5_ema50,m5_ema100,m5_ema200,m5_bias,m5_bb_upper,m5_bb_lower,m5_bb_width,m5_bbw_sma_100,m5_rsi7,m5_rsi14,m5_macd,m5_macd_signal,m5_macd_hist,m5_stoch_k,m5_stoch_d,m5_atr14,m5_atr_percentile,m5_atr_zscore,m5_atr_recent_avg,m5_atr_past_avg,m5_adx,m5_di_plus,m5_di_minus,m5_dx,m5_roc,m5_volume,m5_volume_ma20,m5_volume_ratio,m5_volume_spike,m5_volume_trend,m5_slope_10,m5_slope_20,m5_slope_50,m5_support,m5_resistance,m5_pivot,m5_r1,m5_r2,m5_s1,m5_s2,m5_box_duration,m5_box_tightness,m1_ema5,m1_ema20,m1_rsi14,m1_macd,m1_macd_signal,m1_stoch_k,m1_stoch_d,m1_atr14,m1_support,m1_resistance,m1_bb_upper,m1_bb_lower,m1_volume,m1_volume_ratio,meta_close,meta_high,meta_low,meta_open,meta_session,meta_data_age_ms,meta_data_quality,ohlcv_close,ohlcv_high,ohlcv_low,ohlcv_open,ohlcv_session,ohlcv_data_age_ms,ohlcv_data_quality,price_action_pattern,price_action_last_candle_bias,price_action_body_strength,price_action_wick_dominance,price_action_momentum_bias,price_action_move_quality,price_action_trap_alert,price_action_sr_interaction,behavior_conviction,behavior_hesitation,behavior_pressure_balance,behavior_participation,behavior_behavior,behavior_is_decisive,behavior_confidence,candle_pattern_patterns_detected,candle_pattern_pattern_count,candle_pattern_pattern_strength,candle_pattern_bias,candle_pattern_last_candle_color,candle_pattern_confidence,trap_detector_trap_detected,trap_detector_trap_type,trap_detector_trap_score,trap_detector_false_breakout,trap_detector_stop_hunt,trap_detector_rejection_wick,trap_detector_confidence,conflict_conflict_detected,conflict_conflict_score,conflict_agreement_score,conflict_ema_direction,conflict_momentum_direction,conflict_candle_direction,conflict_conflicting_signals,conflict_all_aligned,conflict_confidence,continuation_continuation_probability,continuation_reversal_probability,continuation_pullback_health,continuation_momentum_intact,continuation_volume_supports_move,continuation_bias,continuation_confidence,continuation_retest_detected,continuation_retest_quality,continuation_retest_type,divergence_divergence_detected,divergence_divergence_type,divergence_rsi_divergence,divergence_macd_divergence,divergence_divergence_strength,divergence_both_confirm,divergence_confidence,efficiency_efficiency_ratio,efficiency_path_efficiency,efficiency_directional_efficiency,efficiency_overall_efficiency,efficiency_movement_quality,efficiency_is_efficient,efficiency_confidence,persistence_persistence_score,persistence_autocorrelation,persistence_max_consecutive_run,persistence_trend_persistence,persistence_is_persistent,persistence_behavior,persistence_confidence,persistence_expansion_persistence,persistence_fatigue_risk,transition_in_transition,transition_transition_type,transition_volatility_shift,transition_momentum_shift,transition_structure_shift,transition_stability_score,transition_is_stable,transition_confidence,analysis_trend_direction,analysis_trend_strength,analysis_trend_type,analysis_volatility_regime,engines_trend_direction,engines_trend_strength,engines_trend_momentum,engines_trend_type,engines_trend_confidence,engines_trend_reversal_risk,engines_trend_sustain_probability,engines_strength_momentum_level,engines_strength_divergence,engines_strength_strength_score,engines_strength_exhaustion_risk,engines_strength_confidence,engines_volatility_regime,engines_volatility_volatility_score,engines_volatility_expansion_probability,engines_volatility_contraction_probability,engines_volatility_volatility_zscore,engines_volatility_spike_detected,engines_volatility_confidence,engines_volatility_bbw_compression_ratio,engines_volatility_compression_quality,engines_structure_structure_type,engines_structure_structure_score,engines_structure_bos_detected,engines_structure_bos_type,engines_structure_key_zones_strong_support,engines_structure_key_zones_strong_resistance,engines_structure_key_zones_middle,engines_structure_zone_proximity,engines_structure_breakout_probability,engines_structure_reversal_probability,engines_structure_confidence,engines_mtf_alignment_score,engines_mtf_dominant_direction,engines_mtf_htf_direction,engines_mtf_ltf_direction,engines_mtf_htf_ltf_conflict,engines_mtf_timeframes_analyzed,engines_mtf_confidence_from_mtf,engines_mtf_confidence,market_state,market_state_full_state,market_state_full_confidence,market_state_full_quality_score,market_state_full_tradeable,market_state_full_stability,market_state_full_description,market_state_full_metrics_volume_ratio,market_state_full_metrics_noise_level,market_state_full_metrics_rsi_extreme_bull,market_state_full_metrics_rsi_extreme_bear,market_state_full_metrics_price_above_ma20,market_state_full_metrics_price_above_ma50,market_state_full_metrics_wick_lower_ratio,market_state_full_metrics_wick_upper_ratio,market_state_full_metrics_compression_detected,market_state_full_metrics_divergence_detected,market_state_full_metrics_volume_surge,market_state_full_metrics_adaptive_adx_threshold,market_state_full_metrics_is_otc,signals_triggered,signals_count,signals_top_signal,market_context_state,market_context_description,market_context_volatility_regime,market_context_news_impact,market_context_expected_volatility_%,market_context_recent_ai_memory,decision_layer_tradeable,decision_layer_tradeable_reason,decision_layer_confidence_score,decision_layer_stability_score,decision_layer_quality_score,decision_layer_risk_level,decision_layer_suggested_expiry_minutes,decision_layer_suggested_action,decision_layer_final_reason_th
2026-06-26 06:58:00,1.116605,1.116815,1.116355,1.116475,1.0,EURUSD-OTC,BEARISH,1.117685,1.118246,1.118695,1.120365,1.123728,1.130583,BEARISH,1.12142,1.115642,0.005778,0.006179,37.86,33.6,-0.000622,-0.000533,-8.9e-05,30.59,55.46,0.0016,80.9,0.04,0.001523,0.00161,16.21,19.23,32.19,25.21,-0.2815,1,1.0,1.0,False,STABLE,-0.0001,1.2e-05,-0.000114,1.115505,1.121025,1.115988,1.116472,1.117068,1.115392,1.114908,26,3.45,1.116403,1.117407,16.0,-0.000808,-0.000647,19.78,15.1,0.000659,1.115505,1.121025,1.122034,1.114092,1,1.0,1.116475,1.116815,1.116355,1.116605,ASIAN,62929,HIGH,1.116475,1.116815,1.116355,1.116605,ASIAN,62929,HIGH,NONE,BEARISH,WEAK,LOW,NEUTRAL,CHOPPY,True,NONE,54,20,6.666666666666667,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BEARISH,40,True,BULL_TRAP,50,True,False,False,70,False,0,100,DOWN,DOWN,NONE,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BULLISH,True,True,90,True,70,4.0988208871426,1.3107416879796001,55.00000000000001,20,POOR,False,75,63,0.049218554136563585,4,9.999999999999998,True,RANDOM,70,52.72062986402642,3.7805818945325993,False,NONE,False,False,False,100,True,70,DOWN,80,IMPULSIVE,EXTREME,DOWN,80,-0.2815,IMPULSIVE,80,30,85,WEAK,NONE,55,30,65,EXTREME,88,55,45,0.04,False,40,0.9351027674380968,37.76972325619031,RANGING,90,False,NONE,1.115392,1.116472,1.115988,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,SIDEWAY_RANGE,SIDEWAY_RANGE,54,60,True,24,Price ranging between clear levels. Suitable for mean-reversion strategies.,1.0,0.5,False,False,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,EXTREME,LOW,0.143,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-26 06:59:00,1.116425,1.117305,1.116425,1.117245,1.0,EURUSD-OTC,BEARISH,1.117685,1.118246,1.118695,1.120365,1.123728,1.130583,BEARISH,1.12142,1.115642,0.005778,0.006179,37.86,33.6,-0.000622,-0.000533,-8.9e-05,30.59,55.46,0.0016,80.9,0.04,0.001523,0.00161,16.21,19.23,32.19,25.21,-0.2815,1,1.0,1.0,False,STABLE,-0.0001,1.2e-05,-0.000114,1.115505,1.121025,1.115988,1.116472,1.117068,1.115392,1.114908,26,3.45,1.116684,1.117391,26.32,-0.000717,-0.000661,25.34,20.17,0.000682,1.115505,1.121025,1.121749,1.11407,1,1.0,1.117245,1.117305,1.116425,1.116425,ASIAN,63339,HIGH,1.117245,1.117305,1.116425,1.116425,ASIAN,63339,HIGH,NONE,BEARISH,WEAK,LOW,NEUTRAL,CHOPPY,True,NONE,54,20,6.666666666666667,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BEARISH,40,True,BULL_TRAP,50,True,False,False,70,False,0,100,DOWN,DOWN,NONE,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BULLISH,True,True,90,True,70,4.0988208871426,1.3107416879796001,55.00000000000001,20,POOR,False,75,63,0.049218554136563585,4,9.999999999999998,True,RANDOM,70,52.72062986402642,3.7805818945325993,False,NONE,False,False,False,100,True,70,DOWN,80,IMPULSIVE,EXTREME,DOWN,80,-0.2815,IMPULSIVE,80,30,85,WEAK,NONE,55,30,65,EXTREME,88,55,45,0.04,False,40,0.9351027674380968,37.76972325619031,RANGING,90,False,NONE,1.115392,1.116472,1.115988,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,SIDEWAY_RANGE,SIDEWAY_RANGE,54,60,True,24,Price ranging between clear levels. Suitable for mean-reversion strategies.,1.0,0.5,False,False,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,EXTREME,LOW,0.143,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-26 07:00:00,1.117255,1.117915,1.117145,1.117455,1.0,EURUSD-OTC,BEARISH,1.117608,1.118102,1.118576,1.12025,1.123592,1.13037,BEARISH,1.121331,1.115848,0.005482,0.006206,46.93,39.11,-0.000648,-0.000556,-9.2e-05,15.22,34.56,0.001646,89.45,0.14,0.001527,0.00161,15.87,23.19,29.19,11.47,-0.0295,1,1.0,1.0,False,STABLE,-0.000107,-3.8e-05,-0.000111,1.115505,1.121025,1.117045,1.118325,1.119195,1.116175,1.114895,27,3.35,1.116941,1.117397,33.88,-0.000622,-0.000653,35.8,26.97,0.000648,1.115505,1.121025,1.12141,1.114109,1,1.0,1.117455,1.117915,1.117145,1.117255,ASIAN,62901,HIGH,1.117455,1.117915,1.117145,1.117255,ASIAN,62901,HIGH,NONE,BULLISH,WEAK,LOW,NEUTRAL,CHOPPY,True,NONE,54,20,13.333333333333334,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BULLISH,40,True,BEAR_TRAP,50,True,False,False,70,False,0,100,DOWN,NONE,NONE,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BULLISH,True,True,90,True,70,6.135291033036599,0.25078369905980985,60.0,22,POOR,False,75,63,0.03324893472828878,4,9.999999999999998,True,RANDOM,70,52.28696242691127,1.5039101844418612,False,NONE,False,False,False,100,True,70,DOWN,100,CHOPPY,EXTREME,DOWN,100,-0.0295,CHOPPY,75,30,75,WEAK,NONE,55,30,65,EXTREME,88,55,45,0.14,False,40,0.883338704479536,36.1061295520464,RANGING,90,False,NONE,1.115505,1.118325,1.117045,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,SIDEWAY_RANGE,SIDEWAY_RANGE,56,60,True,24,Price ranging between clear levels. Suitable for mean-reversion strategies.,1.0,0.5,False,False,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,EXTREME,LOW,0.147,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-26 07:02:00,1.117555,1.117965,1.117155,1.117855,1.0,EURUSD-OTC,BEARISH,1.117608,1.118102,1.118576,1.12025,1.123592,1.13037,BEARISH,1.121331,1.115848,0.005482,0.006206,46.93,39.11,-0.000648,-0.000556,-9.2e-05,15.22,34.56,0.001646,89.45,0.14,0.001527,0.00161,15.87,23.19,29.19,11.47,-0.0295,1,1.0,1.0,False,STABLE,-0.000107,-3.8e-05,-0.000111,1.115505,1.121025,1.117045,1.118325,1.119195,1.116175,1.114895,27,3.35,1.117386,1.117456,50.0,-0.00043,-0.000589,73.26,54.12,0.000634,1.115505,1.120825,1.120503,1.114415,1,1.0,1.117855,1.117965,1.117155,1.117555,ASIAN,62564,HIGH,1.117855,1.117965,1.117155,1.117555,ASIAN,62564,HIGH,NONE,BULLISH,WEAK,LOW,NEUTRAL,CHOPPY,True,NONE,54,20,13.333333333333334,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BULLISH,40,True,BEAR_TRAP,50,True,False,False,70,False,0,100,DOWN,NONE,NONE,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BULLISH,True,True,90,True,70,6.135291033036599,0.25078369905980985,60.0,22,POOR,False,75,63,0.03324893472828878,4,9.999999999999998,True,RANDOM,70,52.28696242691127,1.5039101844418612,False,NONE,False,False,False,100,True,70,DOWN,100,CHOPPY,EXTREME,DOWN,100,-0.0295,CHOPPY,75,30,75,WEAK,NONE,55,30,65,EXTREME,88,55,45,0.14,False,40,0.883338704479536,36.1061295520464,RANGING,90,False,NONE,1.115505,1.118325,1.117045,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,SIDEWAY_RANGE,SIDEWAY_RANGE,56,60,True,24,Price ranging between clear levels. Suitable for mean-reversion strategies.,1.0,0.5,False,False,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,EXTREME,LOW,0.147,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-26 07:25:00,1.119305,1.119315,1.118545,1.118955,1.0,EURUSD-OTC,BEARISH,1.118701,1.118593,1.118696,1.120002,1.123137,1.12975,BULLISH,1.121225,1.116235,0.00499,0.006291,71.18,54.64,-0.000278,-0.00043,0.000152,60.02,62.18,0.001609,80.9,-0.05,0.001595,0.001553,12.44,25.36,22.04,6.99,-0.1339,1,1.0,1.0,False,STABLE,-8e-06,-5.9e-05,-8.5e-05,1.115505,1.121025,1.118985,1.119635,1.120315,1.118305,1.117655,32,3.43,1.119103,1.118872,45.45,0.000245,0.000262,56.13,60.01,0.000581,1.117645,1.119885,1.119873,1.118085,1,1.0,1.118955,1.119315,1.118545,1.119305,ASIAN,63360,HIGH,1.118955,1.119315,1.118545,1.119305,ASIAN,63360,HIGH,NONE,BULLISH,WEAK,LOW,NEUTRAL,CHOPPY,False,NONE,55,13,13.333333333333334,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BULLISH,40,False,NONE,0,False,False,False,60,False,0,50,NONE,NONE,NONE,0,False,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BULLISH,True,True,90,True,70,6.11329220415035,4.829996822371092,55.00000000000001,21,POOR,False,75,63,0.1451378446341591,4,10.000000000000009,True,RANDOM,70,53.57791306096723,0.34689669512977594,False,NONE,False,False,False,100,True,70,NONE,20,CHOPPY,EXTREME,NONE,20,-0.1339,CHOPPY,20,50,30,WEAK,BULLISH,50,30,60,EXTREME,88,40,60,-0.05,False,40,0.7931966301065013,51.279999999999994,RANGING,90,False,NONE,1.115505,1.119635,1.118985,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,ACCUMULATION,ACCUMULATION,50,65,True,22,"Smart money accumulation. Bullish bias, look for breakout.",1.0,0.5,False,False,True,False,0.3,0.3,True,False,False,22,True,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,LOW,0.144,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-26 07:27:00,1.118035,1.118625,1.117805,1.118545,1.0,EURUSD-OTC,BEARISH,1.118701,1.118593,1.118696,1.120002,1.123137,1.12975,BULLISH,1.121225,1.116235,0.00499,0.006291,71.18,54.64,-0.000278,-0.00043,0.000152,60.02,62.18,0.001609,80.9,-0.05,0.001595,0.001553,12.44,25.36,22.04,6.99,-0.1339,1,1.0,1.0,False,STABLE,-8e-06,-5.9e-05,-8.5e-05,1.115505,1.121025,1.118985,1.119635,1.120315,1.118305,1.117655,32,3.43,1.118677,1.118768,40.68,0.000111,0.000213,25.19,38.43,0.000639,1.117645,1.119885,1.119797,1.118211,1,1.0,1.118545,1.118625,1.117805,1.118035,ASIAN,63178,HIGH,1.118545,1.118625,1.117805,1.118035,ASIAN,63178,HIGH,NONE,BULLISH,WEAK,LOW,NEUTRAL,CHOPPY,False,NONE,55,13,13.333333333333334,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BULLISH,40,False,NONE,0,False,False,False,60,False,0,50,NONE,NONE,NONE,0,False,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BULLISH,True,True,90,True,70,6.11329220415035,4.829996822371092,55.00000000000001,21,POOR,False,75,63,0.1451378446341591,4,10.000000000000009,True,RANDOM,70,53.57791306096723,0.34689669512977594,False,NONE,False,False,False,100,True,70,DOWN,20,CHOPPY,EXTREME,DOWN,20,-0.1339,CHOPPY,65,30,60,WEAK,BULLISH,50,30,60,EXTREME,88,40,60,-0.05,False,40,0.7931966301065013,51.279999999999994,RANGING,90,False,NONE,1.115505,1.119635,1.118985,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,BREAKOUT_EMERGING,BREAKOUT_EMERGING,50,70,True,22,"Volatility expansion after compression. Potential breakout opportunity. (breakout prob: 30%, reversal prob: 50%)",1.0,0.5,False,False,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,BREAKOUT_EMERGING,"Volatility expansion after compression. Potential breakout opportunity. (breakout prob: 30%, reversal prob: 50%)",EXTREME,LOW,0.144,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-26 07:28:00,1.118485,1.118595,1.118155,1.118465,1.0,EURUSD-OTC,BEARISH,1.118701,1.118593,1.118696,1.120002,1.123137,1.12975,BULLISH,1.121225,1.116235,0.00499,0.006291,71.18,54.64,-0.000278,-0.00043,0.000152,60.02,62.18,0.001609,80.9,-0.05,0.001595,0.001553,12.44,25.36,22.04,6.99,-0.1339,1,1.0,1.0,False,STABLE,-8e-06,-5.9e-05,-8.5e-05,1.115505,1.121025,1.118985,1.119635,1.120315,1.118305,1.117655,32,3.43,1.118607,1.118739,37.88,7.4e-05,0.000185,23.69,27.62,0.000633,1.117805,1.119885,1.119781,1.118241,1,1.0,1.118465,1.118595,1.118155,1.118485,ASIAN,62415,HIGH,1.118465,1.118595,1.118155,1.118485,ASIAN,62415,HIGH,NONE,BULLISH,WEAK,LOW,NEUTRAL,CHOPPY,False,NONE,55,13,13.333333333333334,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BULLISH,40,False,NONE,0,False,False,False,60,False,0,50,NONE,NONE,NONE,0,False,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BULLISH,True,True,90,True,70,6.11329220415035,4.829996822371092,55.00000000000001,21,POOR,False,75,63,0.1451378446341591,4,10.000000000000009,True,RANDOM,70,53.57791306096723,0.34689669512977594,False,NONE,False,False,False,100,True,70,DOWN,20,CHOPPY,EXTREME,DOWN,20,-0.1339,CHOPPY,65,30,60,WEAK,BULLISH,50,30,60,EXTREME,88,40,60,-0.05,False,40,0.7931966301065013,51.279999999999994,RANGING,90,False,NONE,1.115505,1.119635,1.118985,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,ACCUMULATION,ACCUMULATION,50,65,True,22,"Smart money accumulation. Bullish bias, look for breakout.",1.0,0.5,False,False,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,LOW,0.144,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-26 07:29:00,1.118455,1.118535,1.117725,1.118045,1.0,EURUSD-OTC,BEARISH,1.118701,1.118593,1.118696,1.120002,1.123137,1.12975,BULLISH,1.121225,1.116235,0.00499,0.006291,71.18,54.64,-0.000278,-0.00043,0.000152,60.02,62.18,0.001609,80.9,-0.05,0.001595,0.001553,12.44,25.36,22.04,6.99,-0.1339,1,1.0,1.0,False,STABLE,-8e-06,-5.9e-05,-8.5e-05,1.115505,1.121025,1.118985,1.119635,1.120315,1.118305,1.117655,32,3.43,1.118419,1.118673,38.41,1.1e-05,0.000151,29.19,26.02,0.000628,1.117725,1.119885,1.119834,1.118077,1,1.0,1.118045,1.118535,1.117725,1.118455,ASIAN,62916,HIGH,1.118045,1.118535,1.117725,1.118455,ASIAN,62916,HIGH,NONE,BULLISH,WEAK,LOW,NEUTRAL,CHOPPY,False,NONE,55,13,13.333333333333334,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BULLISH,40,False,NONE,0,False,False,False,60,False,0,50,NONE,NONE,NONE,0,False,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BULLISH,True,True,90,True,70,6.11329220415035,4.829996822371092,55.00000000000001,21,POOR,False,75,63,0.1451378446341591,4,10.000000000000009,True,RANDOM,70,53.57791306096723,0.34689669512977594,False,NONE,False,False,False,100,True,70,DOWN,20,CHOPPY,EXTREME,DOWN,20,-0.1339,CHOPPY,65,30,60,WEAK,BULLISH,50,30,60,EXTREME,88,40,60,-0.05,False,40,0.7931966301065013,51.279999999999994,RANGING,90,False,NONE,1.115505,1.119635,1.118985,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,ACCUMULATION,ACCUMULATION,50,65,True,22,"Smart money accumulation. Bullish bias, look for breakout.",1.0,0.5,False,False,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,LOW,0.144,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-26 07:47:00,1.116815,1.117505,1.116805,1.117445,1.0,EURUSD-OTC,BEARISH,1.117337,1.117746,1.118168,1.119568,1.122238,1.126053,BEARISH,1.120725,1.115692,0.005032,0.006181,23.63,41.61,-0.000552,-0.000451,-0.000101,23.49,32.77,0.001649,87.94,-0.1,0.001638,0.001523,12.1,18.9,26.56,16.85,-0.034,1,1.0,1.0,False,STABLE,-0.000198,-6.2e-05,-6.8e-05,1.115505,1.121025,1.116808,1.117822,1.118568,1.116062,1.115048,36,3.35,1.117109,1.117238,52.72,-0.000313,-0.000408,73.25,67.74,0.000667,1.115795,1.118595,1.11833,1.115867,1,1.0,1.117445,1.117505,1.116805,1.116815,ASIAN,63170,HIGH,1.117445,1.117505,1.116805,1.116815,ASIAN,63170,HIGH,NONE,BULLISH,WEAK,LOW,NEUTRAL,CHOPPY,False,NONE,52,13,6.666666666666667,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BULLISH,40,False,NONE,0,False,False,False,60,False,0,100,DOWN,DOWN,NONE,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BULLISH,True,True,90,True,70,11.399881866509006,6.19637750238287,50.0,22,POOR,False,75,63,0.1578523664531692,4,9.999999999999998,True,RANDOM,70,57.95660983958851,1.4664000053701332,True,MOMENTUM_SHIFT,False,True,False,65,True,70,DOWN,100,CHOPPY,EXTREME,DOWN,100,-0.034,CHOPPY,75,30,75,WEAK,NONE,50,30,60,EXTREME,88,40,60,-0.1,False,40,0.8141077495550882,44.23722504449118,RANGING,90,False,NONE,1.115505,1.117822,1.116808,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,SIDEWAY_RANGE,SIDEWAY_RANGE,57,60,True,22,Price ranging between clear levels. Suitable for mean-reversion strategies.,1.0,0.5,False,False,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,EXTREME,LOW,0.148,[],True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-26 07:49:00,1.117285,1.117355,1.116455,1.116595,1.0,EURUSD-OTC,BEARISH,1.117337,1.117746,1.118168,1.119568,1.122238,1.126053,BEARISH,1.120725,1.115692,0.005032,0.006181,23.63,41.61,-0.000552,-0.000451,-0.000101,23.49,32.77,0.001649,87.94,-0.1,0.001638,0.001523,12.1,18.9,26.56,16.85,-0.034,1,1.0,1.0,False,STABLE,-0.000198,-6.2e-05,-6.8e-05,1.115505,1.121025,1.116808,1.117822,1.118568,1.116062,1.115048,36,3.35,1.116972,1.117179,47.86,-0.000293,-0.000364,74.24,75.18,0.000681,1.115795,1.118305,1.117925,1.116007,1,1.0,1.116595,1.117355,1.116455,1.117285,ASIAN,62898,HIGH,1.116595,1.117355,1.116455,1.117285,ASIAN,62898,HIGH,NONE,BULLISH,WEAK,LOW,NEUTRAL,CHOPPY,False,NONE,52,13,6.666666666666667,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BULLISH,40,False,NONE,0,False,False,False,60,False,0,100,DOWN,DOWN,NONE,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BULLISH,True,True,90,True,70,11.399881866509006,6.19637750238287,50.0,22,POOR,False,75,63,0.1578523664531692,4,9.999999999999998,True,RANDOM,70,57.95660983958851,1.4664000053701332,True,MOMENTUM_SHIFT,False,True,False,65,True,70,DOWN,100,CHOPPY,EXTREME,DOWN,100,-0.034,CHOPPY,75,30,75,WEAK,NONE,50,30,60,EXTREME,88,40,60,-0.1,False,40,0.8141077495550882,44.23722504449118,RANGING,90,False,NONE,1.115505,1.117822,1.116808,FAR,30,50,85,50,NONE,NONE,NONE,False,[],0,0,SIDEWAY_RANGE,SIDEWAY_RANGE,57,60,True,22,Price ranging between clear levels. Suitable for mean-reversion strategies.,1.0,0.5,False,False,False,False,0.3,0.3,True,False,False,22,True,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,EXTREME,LOW,0.148,"[{'symbol': 'EURGBP-OTC', 'action': 'NO_TRADE', 'reason': 'ไม่พบข้อมูลราคาตลาดปัจจุบัน ไม่สามารถวิเคราะห์แนวโน้มและสัญญาณทางเทคนิคได้', 'timestamp': '2026-06-26T07:47:37.511819'}, {'symbol': 'EURGBP-OTC', 'action': 'NO_TRADE', 'reason': 'ไม่มีข้อมูลราคาและตัวชี้วัดจากตลาดปัจจุบันจึงไม่สามารถวิเคราะห์สัญญาณได้', 'timestamp': '2026-06-26T07:48:33.947303'}]",True,Passed basic checks,0,50,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
