timestamp,open,high,low,close,volume,symbol,m15_bias,m5_ema5,m5_ema10,m5_ema20,m5_ema50,m5_ema100,m5_ema200,m5_bias,m5_bb_upper,m5_bb_lower,m5_bb_width,m5_bbw_sma_100,m5_rsi7,m5_rsi14,m5_macd,m5_macd_signal,m5_macd_hist,m5_stoch_k,m5_stoch_d,m5_atr14,m5_atr_percentile,m5_atr_zscore,m5_atr_recent_avg,m5_atr_past_avg,m5_adx,m5_di_plus,m5_di_minus,m5_dx,m5_roc,m5_volume,m5_volume_ma20,m5_volume_ratio,m5_volume_spike,m5_slope_10,m5_slope_20,m5_slope_50,m5_pivot,m5_r1,m5_r2,m5_s1,m5_s2,m5_box_duration,m5_box_tightness,m5_support,m5_resistance,m5_volume_trend,m1_ema5,m1_ema10,m1_ema20,m1_ema50,m1_rsi7,m1_rsi14,m1_macd,m1_macd_signal,m1_stoch_k,m1_stoch_d,m1_atr14,m1_bb_upper,m1_bb_lower,m1_pivot,m1_r1,m1_s1,m1_volume,m1_volume_ratio,meta_close,meta_high,meta_low,meta_open,meta_session,meta_data_age_ms,meta_data_quality,ohlcv_close,ohlcv_high,ohlcv_low,ohlcv_open,ohlcv_session,ohlcv_data_age_ms,ohlcv_data_quality,price_action_pattern,price_action_last_candle_bias,price_action_last_candle,price_action_body_strength,price_action_rejection_zone,price_action_wick_dominance,price_action_momentum_bias,price_action_move_quality,price_action_trap_alert,price_action_sr_interaction,price_action_volume_momentum,behavior_conviction,behavior_hesitation,behavior_pressure_balance,behavior_participation,behavior_behavior,behavior_is_decisive,behavior_confidence,candle_pattern_patterns_detected,candle_pattern_pattern_count,candle_pattern_pattern_strength,candle_pattern_bias,candle_pattern_last_candle_color,candle_pattern_confidence,trap_detector_trap_detected,trap_detector_trap_type,trap_detector_trap_score,trap_detector_false_breakout,trap_detector_stop_hunt,trap_detector_rejection_wick,trap_detector_confidence,conflict_conflict_detected,conflict_conflict_score,conflict_agreement_score,conflict_ema_direction,conflict_momentum_direction,conflict_candle_direction,conflict_conflicting_signals,conflict_all_aligned,conflict_confidence,continuation_continuation_probability,continuation_reversal_probability,continuation_pullback_health,continuation_momentum_intact,continuation_volume_supports_move,continuation_bias,continuation_confidence,continuation_retest_detected,continuation_retest_quality,continuation_retest_type,divergence_divergence_detected,divergence_divergence_type,divergence_rsi_divergence,divergence_macd_divergence,divergence_divergence_strength,divergence_both_confirm,divergence_confidence,efficiency_efficiency_ratio,efficiency_path_efficiency,efficiency_directional_efficiency,efficiency_overall_efficiency,efficiency_movement_quality,efficiency_is_efficient,efficiency_confidence,persistence_persistence_score,persistence_autocorrelation,persistence_max_consecutive_run,persistence_trend_persistence,persistence_is_persistent,persistence_behavior,persistence_confidence,persistence_expansion_persistence,persistence_fatigue_risk,transition_in_transition,transition_transition_type,transition_volatility_shift,transition_momentum_shift,transition_structure_shift,transition_stability_score,transition_is_stable,transition_confidence,analysis_trend_direction,analysis_trend_strength,analysis_trend_type,analysis_volatility_regime,engines_trend_direction,engines_trend_strength,engines_trend_momentum,engines_trend_type,engines_trend_confidence,engines_trend_reversal_risk,engines_trend_sustain_probability,engines_strength_momentum_level,engines_strength_divergence,engines_strength_strength_score,engines_strength_exhaustion_risk,engines_strength_confidence,engines_volatility_regime,engines_volatility_volatility_score,engines_volatility_expansion_probability,engines_volatility_contraction_probability,engines_volatility_volatility_zscore,engines_volatility_spike_detected,engines_volatility_confidence,engines_volatility_bbw_compression_ratio,engines_volatility_compression_quality,engines_structure_structure_type,engines_structure_structure_score,engines_structure_bos_detected,engines_structure_bos_type,engines_structure_key_zones_strong_support,engines_structure_key_zones_strong_resistance,engines_structure_key_zones_middle,engines_structure_zone_proximity,engines_structure_breakout_probability,engines_structure_reversal_probability,engines_structure_confidence,engines_mtf_directions_by_tf_M1,engines_mtf_directions_by_tf_M5,engines_mtf_directions_by_tf_M15,engines_mtf_alignment_score,engines_mtf_dominant_direction,engines_mtf_htf_direction,engines_mtf_ltf_direction,engines_mtf_htf_ltf_conflict,engines_mtf_timeframes_analyzed,engines_mtf_confidence_from_mtf,engines_mtf_confidence,market_state,market_state_full_state,market_state_full_confidence,market_state_full_quality_score,market_state_full_tradeable,market_state_full_stability,market_state_full_description,market_state_full_metrics_volume_ratio,market_state_full_metrics_noise_level,market_state_full_metrics_rsi_extreme_bull,market_state_full_metrics_rsi_extreme_bear,market_state_full_metrics_price_above_ma20,market_state_full_metrics_price_above_ma50,market_state_full_metrics_wick_lower_ratio,market_state_full_metrics_wick_upper_ratio,market_state_full_metrics_compression_detected,market_state_full_metrics_divergence_detected,market_state_full_metrics_volume_surge,market_state_full_metrics_adaptive_adx_threshold,market_state_full_metrics_is_otc,signals_triggered,signals_count,signals_top_signal,market_context_state,market_context_description,market_context_volatility_regime,market_context_news_impact,market_context_expected_volatility_%,market_context_recent_ai_memory,decision_layer_tradeable,decision_layer_tradeable_reason,decision_layer_confidence_score,decision_layer_stability_score,decision_layer_quality_score,decision_layer_risk_level,decision_layer_suggested_expiry_minutes,decision_layer_suggested_action,decision_layer_final_reason_th
2026-06-30 20:02:00,1.143535,1.143725,1.143275,1.143315,1.0,EURUSD-OTC,BEARISH,1.142272,1.141385,1.140985,1.142521,1.14564,1.147684,BULLISH,1.14437,1.136487,0.007882,0.01092,68.35,58.83,0.000119,-0.00048,0.000599,93.71,89.98,0.001535,37.5,-0.42,0.001523,0.001456,20.54,25.16,16.6,20.49,0.4676,1.0,1.0,1.0,False,0.000597,3.9e-05,-1.5e-05,1.143312,1.143538,1.143952,1.142898,1.142672,50,5.12,1.135865,1.143725,NO_VOLUME_DATA,1.14291,1.142436,1.14182,1.140836,68.7,65.97,0.000772,0.000656,92.13,91.34,0.000706,1.143488,1.139975,1.143438,1.143602,1.143152,1.0,1.0,1.143315,1.143725,1.143275,1.143535,LONDON,124501,LOW,1.143315,1.143725,1.143275,1.143535,LONDON,124501,LOW,NONE,BEARISH,BEARISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,NONE,TESTING_PIVOT,NORMAL,50,23,4.183757178014878,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BEARISH,40,False,NONE,0,False,False,False,60,False,0,100,NONE,UP,UP,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BEARISH,True,True,90,True,70,1.940035273368266,0.9051290646999136,50.0,17,POOR,False,75,73,0.09468772694283391,5,9.999999999999998,True,RANDOM,70,54.76456041427455,2.813444493183512,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,100,CHOPPY,NORMAL,NONE,100,0.4676,CHOPPY,20,50,30,NORMAL,NONE,60,30,70,NORMAL,58,40,60,-0.42,False,80,0.7217948717948719,86.0,RANGING,90,False,NONE,1.135865,1.143538,1.143312,FAR,30,50,85,UP,NONE,DOWN,33,NONE,DOWN,UP,True,"['M1', 'M5', 'M15']",33,33,SIDEWAY_RANGE,SIDEWAY_RANGE,55,60,True,29,Price ranging between clear levels. Suitable for mean-reversion strategies.,1.0,0.5,False,False,True,True,0.3,0.3,True,False,False,18,True,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,NORMAL,NONE_OTC,0.134,[],True,Passed basic checks,0,33,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:04:00,1.143535,1.143725,1.143275,1.143315,1.0,EURUSD-OTC,BULLISH,1.142399,1.141454,1.141021,1.142536,1.145648,1.147688,BULLISH,1.144444,1.136451,0.007992,0.010921,72.73,60.72,0.000149,-0.000474,0.000623,94.1,90.11,0.001557,43.0,-0.31,0.001526,0.001456,20.73,26.23,16.37,23.15,0.501,1.0,1.0,1.0,False,0.000618,4.5e-05,-1.4e-05,1.143542,1.143998,1.144492,1.143048,1.142592,50,5.25,1.135865,1.143725,NO_VOLUME_DATA,1.14291,1.142436,1.14182,1.140836,68.7,65.97,0.000772,0.000656,92.13,91.34,0.000706,1.143488,1.139975,1.143438,1.143602,1.143152,1.0,1.0,1.143315,1.143725,1.143275,1.143535,LONDON,243928,LOW,1.143315,1.143725,1.143275,1.143535,LONDON,243928,LOW,DOJI,BEARISH,BEARISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,TRUE,TESTING_PIVOT,NORMAL,48,26,5.833333333333665,50,NEUTRAL,False,70,['DOJI'],1,20,NEUTRAL,BEARISH,60,True,BULL_TRAP,50,True,False,False,70,False,0,100,NONE,UP,UP,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BEARISH,True,True,90,True,70,4.269392663860443,2.1566025215661044,50.0,18,POOR,False,75,73,0.108066474015009,5,9.999999999999998,True,RANDOM,70,55.85705874254745,3.2653313638826473,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,100,CHOPPY,NORMAL,NONE,100,0.501,CHOPPY,20,50,30,NORMAL,NONE,65,30,75,NORMAL,58,40,60,-0.31,False,80,0.7318011171138175,81.6,RANGING,90,False,NONE,1.135865,1.143725,1.143542,FAR,30,50,85,UP,NONE,NONE,33,UP,NONE,UP,False,"['M1', 'M5', 'M15']",33,33,SIDEWAY_RANGE,SIDEWAY_RANGE,56,60,True,29,Price ranging between clear levels. Suitable for mean-reversion strategies.,1.0,0.5,False,False,True,True,0.3,0.3,True,False,False,18,True,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,NORMAL,NONE_OTC,0.136,[],True,Passed basic checks,0,33,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:05:00,1.143535,1.143725,1.143275,1.143315,1.0,EURUSD-OTC,BULLISH,1.142606,1.141566,1.14108,1.14256,1.14566,1.147696,BULLISH,1.144577,1.13638,0.008198,0.010923,75.71,62.78,0.000199,-0.000464,0.000663,94.61,90.28,0.001594,64.32,-0.1,0.001529,0.001456,21.02,27.95,15.99,27.22,0.5555,1.0,1.0,1.0,False,0.000652,5.4e-05,-1.2e-05,1.143922,1.144758,1.145392,1.143288,1.142452,50,5.45,1.135865,1.143725,NO_VOLUME_DATA,1.14291,1.142436,1.14182,1.140836,68.7,65.97,0.000772,0.000656,92.13,91.34,0.000706,1.143488,1.139975,1.143438,1.143602,1.143152,1.0,1.0,1.143315,1.143725,1.143275,1.143535,LONDON,305944,LOW,1.143315,1.143725,1.143275,1.143535,LONDON,305944,LOW,NONE,BULLISH,BULLISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,NONE,TESTING_PIVOT,NORMAL,50,23,8.224755700326302,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BULLISH,40,False,NONE,0,False,False,False,60,False,0,100,NONE,UP,UP,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BEARISH,True,True,90,True,70,7.755102040816738,4.142204827136567,50.0,20,POOR,False,75,73,0.1292357209699198,5,9.999999999999998,True,RANDOM,70,57.551049422270204,4.002558933367124,True,MOMENTUM_SHIFT,False,True,True,35,False,70,NONE,100,CHOPPY,HIGH,NONE,100,0.5555,CHOPPY,20,50,30,NORMAL,NONE,65,30,75,HIGH,73,40,60,-0.1,False,80,0.7505264121578321,64.54400000000001,RANGING,90,False,NONE,1.135865,1.143725,1.143922,FAR,30,50,85,UP,NONE,NONE,33,UP,NONE,UP,False,"['M1', 'M5', 'M15']",33,33,SIDEWAY_RANGE,SIDEWAY_RANGE,50,60,True,27,Price ranging between clear levels. Suitable for mean-reversion strategies.,1.0,0.5,False,False,True,True,0.3,0.3,True,False,False,22,True,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,HIGH,NONE_OTC,0.139,[],True,Passed basic checks,0,33,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:12:00,1.142485,1.142955,1.142255,1.142955,1.0,EURUSD-OTC,BEARISH,1.142666,1.141939,1.141371,1.142569,1.145521,1.147431,BULLISH,1.144529,1.136397,0.008132,0.010982,60.84,56.32,0.00036,-0.000181,0.000541,83.93,89.52,0.001553,49.5,-0.23,0.001543,0.001464,20.42,24.74,17.7,16.58,0.3098,1.0,1.0,1.0,False,0.000436,0.000191,-1.1e-05,1.142675,1.143095,1.143315,1.142455,1.142035,50,5.6,1.135865,1.144555,NO_VOLUME_DATA,1.142941,1.14303,1.142722,1.141657,49.58,55.19,0.000534,0.000707,39.8,47.42,0.000685,1.14467,1.140907,1.142722,1.143188,1.142488,1.0,1.0,1.142955,1.142955,1.142255,1.142485,LONDON,123816,LOW,1.142955,1.142955,1.142255,1.142485,LONDON,123816,LOW,NONE,BULLISH,BULLISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,TRUE,TESTING_PIVOT,NORMAL,51,20,-2.0973486347444457,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BULLISH,40,True,BULL_TRAP,50,True,False,False,70,False,0,100,NONE,UP,UP,0,True,75,82,18,80,True,True,CONTINUATION,70,False,0.0,NONE,True,BEARISH,True,True,90,True,70,0.36668412781568094,4.3478260869565215,50.0,18,POOR,False,75,73,0.06388220821240477,5,9.999999999999998,True,RANDOM,70,53.56239175343536,1.9761781284941993,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,100,CHOPPY,NORMAL,NONE,100,0.3098,CHOPPY,20,50,30,NORMAL,NONE,60,30,70,NORMAL,58,40,60,-0.23,False,80,0.740484429065744,76.4,RANGING,90,False,NONE,1.135865,1.143095,1.142675,FAR,30,50,85,UP,NONE,DOWN,33,NONE,DOWN,UP,True,"['M1', 'M5', 'M15']",33,33,SIDEWAY_RANGE,SIDEWAY_RANGE,57,60,True,29,Price ranging between clear levels. Suitable for mean-reversion strategies.,1.0,0.5,False,False,True,True,0.3,0.3,True,False,False,18,True,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,NORMAL,NONE_OTC,0.136,[],True,Passed basic checks,0,33,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:32:00,1.141965,1.142885,1.141905,1.142855,1.0,EURUSD-OTC,BEARISH,1.142693,1.142385,1.141833,1.142602,1.145356,1.147592,BULLISH,1.145353,1.136342,0.009012,0.01113,55.57,54.41,0.000485,0.00021,0.000275,73.16,78.5,0.00152,44.0,-0.14,0.001567,0.001481,19.39,22.38,18.24,10.19,0.0902,1.0,1.0,1.0,False,4.7e-05,0.000334,-3e-06,1.142512,1.143118,1.143502,1.142128,1.141522,50,5.72,1.135865,1.144075,NO_VOLUME_DATA,1.142832,1.142969,1.142981,1.142411,47.63,49.7,8.4e-05,0.000207,33.75,45.82,0.000706,1.143997,1.142025,1.142548,1.143192,1.142212,1.0,1.0,1.142855,1.142885,1.141905,1.141965,LONDON,125104,LOW,1.142855,1.142885,1.141905,1.141965,LONDON,125104,LOW,NONE,BULLISH,BULLISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,NONE,TESTING_PIVOT,NORMAL,50,20,1.2762453684645263,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BULLISH,40,False,NONE,0,False,False,False,60,False,0,100,NONE,NONE,UP,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BEARISH,False,True,50,False,70,12.785145888594116,10.429835651074661,55.00000000000001,26,POOR,False,75,76,0.07992782916792623,5,30.000000000000004,True,RANDOM,70,51.73569504832912,1.1848695179258462,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,60,CHOPPY,NORMAL,NONE,60,0.0902,CHOPPY,20,50,30,WEAK,NONE,50,30,60,NORMAL,58,40,60,-0.14,False,80,0.8097035040431266,79.82964959568734,RANGING,90,False,NONE,1.135865,1.143118,1.142512,FAR,30,50,85,NONE,NONE,DOWN,33,DOWN,DOWN,NONE,False,"['M1', 'M5', 'M15']",33,33,SIDEWAY_RANGE,SIDEWAY_RANGE,54,60,True,28,Price ranging between clear levels. Suitable for mean-reversion strategies.,1.0,0.5,False,False,True,True,0.3,0.3,True,False,False,18,True,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,NORMAL,NONE_OTC,0.133,[],True,Passed basic checks,0,33,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:33:00,1.141965,1.142885,1.141905,1.142855,1.0,EURUSD-OTC,BEARISH,1.142693,1.142385,1.141833,1.142602,1.145356,1.147592,BULLISH,1.145353,1.136342,0.009012,0.01113,55.57,54.41,0.000485,0.00021,0.000275,73.16,78.5,0.00152,44.0,-0.14,0.001567,0.001481,19.39,22.38,18.24,10.19,0.0902,1.0,1.0,1.0,False,4.7e-05,0.000334,-3e-06,1.142512,1.143118,1.143502,1.142128,1.141522,50,5.72,1.135865,1.144075,NO_VOLUME_DATA,1.142832,1.142969,1.142981,1.142411,47.63,49.7,8.4e-05,0.000207,33.75,45.82,0.000706,1.143997,1.142025,1.142548,1.143192,1.142212,1.0,1.0,1.142855,1.142885,1.141905,1.141965,LONDON,184608,LOW,1.142855,1.142885,1.141905,1.141965,LONDON,184608,LOW,NONE,BULLISH,BULLISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,NONE,TESTING_PIVOT,NORMAL,50,20,1.2762453684645263,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BULLISH,40,False,NONE,0,False,False,False,60,False,0,100,NONE,NONE,UP,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BEARISH,False,True,50,False,70,12.785145888594116,10.429835651074661,55.00000000000001,26,POOR,False,75,76,0.07992782916792623,5,30.000000000000004,True,RANDOM,70,51.73569504832912,1.1848695179258462,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,60,CHOPPY,NORMAL,NONE,60,0.0902,CHOPPY,20,50,30,WEAK,NONE,50,30,60,NORMAL,58,40,60,-0.14,False,80,0.8097035040431266,79.82964959568734,RANGING,90,False,NONE,1.135865,1.143118,1.142512,FAR,30,50,85,NONE,NONE,DOWN,33,DOWN,DOWN,NONE,False,"['M1', 'M5', 'M15']",33,33,SIDEWAY_RANGE,SIDEWAY_RANGE,54,60,True,28,Price ranging between clear levels. Suitable for mean-reversion strategies.,1.0,0.5,False,False,True,True,0.3,0.3,True,False,False,18,True,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,NORMAL,NONE_OTC,0.133,[],True,Passed basic checks,0,33,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:34:00,1.141965,1.142885,1.141905,1.142855,1.0,EURUSD-OTC,BEARISH,1.142693,1.142385,1.141833,1.142602,1.145356,1.147592,BULLISH,1.145353,1.136342,0.009012,0.01113,55.57,54.41,0.000485,0.00021,0.000275,73.16,78.5,0.00152,44.0,-0.14,0.001567,0.001481,19.39,22.38,18.24,10.19,0.0902,1.0,1.0,1.0,False,4.7e-05,0.000334,-3e-06,1.142512,1.143118,1.143502,1.142128,1.141522,50,5.72,1.135865,1.144075,NO_VOLUME_DATA,1.142832,1.142969,1.142981,1.142411,47.63,49.7,8.4e-05,0.000207,33.75,45.82,0.000706,1.143997,1.142025,1.142548,1.143192,1.142212,1.0,1.0,1.142855,1.142885,1.141905,1.141965,LONDON,244273,LOW,1.142855,1.142885,1.141905,1.141965,LONDON,244273,LOW,NONE,BULLISH,BULLISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,NONE,TESTING_PIVOT,NORMAL,50,20,1.2762453684645263,50,NEUTRAL,False,70,[],0,0,NEUTRAL,BULLISH,40,False,NONE,0,False,False,False,60,False,0,100,NONE,NONE,UP,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BEARISH,False,True,50,False,70,12.785145888594116,10.429835651074661,55.00000000000001,26,POOR,False,75,76,0.07992782916792623,5,30.000000000000004,True,RANDOM,70,51.73569504832912,1.1848695179258462,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,60,CHOPPY,NORMAL,NONE,60,0.0902,CHOPPY,20,50,30,WEAK,NONE,50,30,60,NORMAL,58,40,60,-0.14,False,80,0.8097035040431266,79.82964959568734,RANGING,90,False,NONE,1.135865,1.143118,1.142512,FAR,30,50,85,NONE,NONE,DOWN,33,DOWN,DOWN,NONE,False,"['M1', 'M5', 'M15']",33,33,SIDEWAY_RANGE,SIDEWAY_RANGE,54,60,True,28,Price ranging between clear levels. Suitable for mean-reversion strategies.,1.0,0.5,False,False,True,True,0.3,0.3,True,False,False,18,True,[],0,NO,SIDEWAY_RANGE,Price ranging between clear levels. Suitable for mean-reversion strategies.,NORMAL,NONE_OTC,0.133,[],True,Passed basic checks,0,33,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:35:00,1.141965,1.142885,1.141905,1.142855,1.0,EURUSD-OTC,BEARISH,1.143026,1.142566,1.141928,1.142641,1.145378,1.147616,BULLISH,1.145507,1.136288,0.009219,0.011132,61.94,57.91,0.000564,0.000226,0.000339,78.58,80.31,0.001618,77.39,0.19,0.001577,0.001481,19.77,23.33,17.06,15.53,0.1778,1.0,1.0,1.0,False,0.000102,0.000348,-1e-06,1.143298,1.144692,1.145648,1.142342,1.140948,50,5.37,1.135865,1.144555,NO_VOLUME_DATA,1.142832,1.142969,1.142981,1.142411,47.63,49.7,8.4e-05,0.000207,33.75,45.82,0.000706,1.143997,1.142025,1.142548,1.143192,1.142212,1.0,1.0,1.142855,1.142885,1.141905,1.141965,LONDON,304968,LOW,1.142855,1.142885,1.141905,1.141965,LONDON,304968,LOW,BULLISH_ENGULFING,BULLISH,BULLISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,NONE,TESTING_PIVOT,NORMAL,50,20,5.179913009094235,50,NEUTRAL,False,70,['BULLISH_ENGULFING'],1,20,BULLISH,BULLISH,60,False,NONE,0,False,False,False,60,False,0,100,NONE,UP,UP,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BEARISH,False,True,50,False,70,17.178841309823113,13.03030303030271,55.00000000000001,28,POOR,False,75,76,0.0484253539446257,5,30.000000000000004,True,RANDOM,70,49.717921033671146,4.048789271949781,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,100,CHOPPY,EXTREME,NONE,100,0.1778,CHOPPY,20,50,30,WEAK,NONE,50,30,60,EXTREME,88,40,60,0.19,False,40,0.8281530722242185,51.27269277757814,RANGING,90,False,NONE,1.135865,1.144555,1.143298,FAR,30,50,85,NONE,NONE,DOWN,33,DOWN,DOWN,NONE,False,"['M1', 'M5', 'M15']",33,33,ACCUMULATION,ACCUMULATION,50,65,True,25,"Smart money accumulation. Bullish bias, look for breakout.",1.0,0.5,False,False,True,True,0.3,0.3,True,False,False,22,True,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,NONE_OTC,0.142,[],True,Passed basic checks,0,33,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:36:00,1.141965,1.142885,1.141905,1.142855,1.0,EURUSD-OTC,BEARISH,1.143026,1.142566,1.141928,1.142641,1.145378,1.147616,BULLISH,1.145507,1.136288,0.009219,0.011132,61.94,57.91,0.000564,0.000226,0.000339,78.58,80.31,0.001618,77.39,0.19,0.001577,0.001481,19.77,23.33,17.06,15.53,0.1778,1.0,1.0,1.0,False,0.000102,0.000348,-1e-06,1.143298,1.144692,1.145648,1.142342,1.140948,50,5.37,1.135865,1.144555,NO_VOLUME_DATA,1.142832,1.142969,1.142981,1.142411,47.63,49.7,8.4e-05,0.000207,33.75,45.82,0.000706,1.143997,1.142025,1.142548,1.143192,1.142212,1.0,1.0,1.142855,1.142885,1.141905,1.141965,LONDON,364306,LOW,1.142855,1.142885,1.141905,1.141965,LONDON,364306,LOW,BULLISH_ENGULFING,BULLISH,BULLISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,NONE,TESTING_PIVOT,NORMAL,50,20,5.179913009094235,50,NEUTRAL,False,70,['BULLISH_ENGULFING'],1,20,BULLISH,BULLISH,60,False,NONE,0,False,False,False,60,False,0,100,NONE,UP,UP,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BEARISH,False,True,50,False,70,17.178841309823113,13.03030303030271,55.00000000000001,28,POOR,False,75,76,0.0484253539446257,5,30.000000000000004,True,RANDOM,70,49.717921033671146,4.048789271949781,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,100,CHOPPY,EXTREME,NONE,100,0.1778,CHOPPY,20,50,30,WEAK,NONE,50,30,60,EXTREME,88,40,60,0.19,False,40,0.8281530722242185,51.27269277757814,RANGING,90,False,NONE,1.135865,1.144555,1.143298,FAR,30,50,85,NONE,NONE,DOWN,33,DOWN,DOWN,NONE,False,"['M1', 'M5', 'M15']",33,33,ACCUMULATION,ACCUMULATION,50,65,True,25,"Smart money accumulation. Bullish bias, look for breakout.",1.0,0.5,False,False,True,True,0.3,0.3,True,False,False,22,True,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,NONE_OTC,0.142,[],True,Passed basic checks,0,33,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
2026-06-30 20:37:00,1.141965,1.142885,1.141905,1.142855,1.0,EURUSD-OTC,BEARISH,1.143026,1.142566,1.141928,1.142641,1.145378,1.147616,BULLISH,1.145507,1.136288,0.009219,0.011132,61.94,57.91,0.000564,0.000226,0.000339,78.58,80.31,0.001618,77.39,0.19,0.001577,0.001481,19.77,23.33,17.06,15.53,0.1778,1.0,1.0,1.0,False,0.000102,0.000348,-1e-06,1.143298,1.144692,1.145648,1.142342,1.140948,50,5.37,1.135865,1.144555,NO_VOLUME_DATA,1.142832,1.142969,1.142981,1.142411,47.63,49.7,8.4e-05,0.000207,33.75,45.82,0.000706,1.143997,1.142025,1.142548,1.143192,1.142212,1.0,1.0,1.142855,1.142885,1.141905,1.141965,LONDON,423876,LOW,1.142855,1.142885,1.141905,1.141965,LONDON,423876,LOW,BULLISH_ENGULFING,BULLISH,BULLISH,WEAK,AT_PIVOT,LOW_WICK,NEUTRAL,CHAOTIC,NONE,TESTING_PIVOT,NORMAL,50,20,5.179913009094235,50,NEUTRAL,False,70,['BULLISH_ENGULFING'],1,20,BULLISH,BULLISH,60,False,NONE,0,False,False,False,60,False,0,100,NONE,UP,UP,0,True,75,55,45,80,False,True,NEUTRAL,70,False,0.0,NONE,True,BEARISH,False,True,50,False,70,17.178841309823113,13.03030303030271,55.00000000000001,28,POOR,False,75,76,0.0484253539446257,5,30.000000000000004,True,RANDOM,70,49.717921033671146,4.048789271949781,True,MOMENTUM_SHIFT,False,True,False,65,True,70,NONE,100,CHOPPY,EXTREME,NONE,100,0.1778,CHOPPY,20,50,30,WEAK,NONE,50,30,60,EXTREME,88,40,60,0.19,False,40,0.8281530722242185,51.27269277757814,RANGING,90,False,NONE,1.135865,1.144555,1.143298,FAR,30,50,85,NONE,NONE,DOWN,33,DOWN,DOWN,NONE,False,"['M1', 'M5', 'M15']",33,33,ACCUMULATION,ACCUMULATION,50,65,True,25,"Smart money accumulation. Bullish bias, look for breakout.",1.0,0.5,False,False,True,True,0.3,0.3,True,False,False,22,True,[],0,NO,ACCUMULATION,"Smart money accumulation. Bullish bias, look for breakout.",EXTREME,NONE_OTC,0.142,[],True,Passed basic checks,0,33,50,MEDIUM,5,WAIT,รอการวิเคราะห์จาก AI
