timestamp,symbol,action,expiry,confidence
2026-08-20 05:46:03,AUDUSD-OTC,WAIT,1,45
2026-08-20 05:47:03,AUDUSD-OTC,WAIT,1,45
2026-08-20 05:48:03,AUDUSD-OTC,WAIT,1,45
2026-08-20 05:49:25,AUDUSD-OTC,WAIT,1,45
2026-08-20 05:55:17,AUDUSD-OTC,WAIT,2,45
2026-08-20 05:59:03,AUDUSD-OTC,WAIT,2,45
2026-08-20 06:00:03,AUDUSD-OTC,WAIT,3,45
2026-08-20 06:01:03,AUDUSD-OTC,WAIT,1,45
2026-08-20 06:02:03,AUDUSD-OTC,WAIT,1,45
2026-08-20 06:03:07,AUDUSD-OTC,WAIT,1,45
2026-08-20 06:05:11,AUDUSD-OTC,WAIT,1,45
2026-08-20 06:15:04,AUDUSD-OTC,CALL,2,82
2026-08-20 06:16:03,AUDUSD-OTC,WAIT,1,45
2026-08-20 06:17:03,AUDUSD-OTC,CALL,2,85
2026-08-20 06:18:09,AUDUSD-OTC,CALL,2,82
2026-08-20 06:19:17,AUDUSD-OTC,WAIT,3,45
2026-08-20 06:22:11,AUDUSD-OTC,CALL,2,82
2026-08-20 06:33:16,AUDUSD-OTC,CALL,2,82
2026-08-20 06:41:03,AUDUSD-OTC,WAIT,1,45
2026-08-20 06:42:04,AUDUSD-OTC,WAIT,1,45
2026-08-20 06:43:04,AUDUSD-OTC,WAIT,1,45
2026-08-20 06:44:06,AUDUSD-OTC,WAIT,1,40
2026-08-20 06:45:06,AUDUSD-OTC,WAIT,1,45
2026-08-20 06:46:07,AUDUSD-OTC,WAIT,1,45
2026-08-20 06:47:06,AUDUSD-OTC,WAIT,1,45
2026-08-20 06:48:31,AUDUSD-OTC,WAIT,1,45
2026-08-20 06:49:59,AUDUSD-OTC,WAIT,1,45
2026-08-20 06:52:52,AUDUSD-OTC,WAIT,1,45
