timestamp,symbol,action,expiry,confidence
2026-08-20 05:46:07,GBPCHF-OTC,CALL,2,75
2026-08-20 05:47:07,GBPCHF-OTC,WAIT,1,45
2026-08-20 05:48:07,GBPCHF-OTC,WAIT,1,40
2026-08-20 05:49:55,GBPCHF-OTC,WAIT,1,45
2026-08-20 05:56:02,GBPCHF-OTC,WAIT,1,45
2026-08-20 05:59:07,GBPCHF-OTC,WAIT,1,40
2026-08-20 06:00:08,GBPCHF-OTC,WAIT,1,45
2026-08-20 06:01:07,GBPCHF-OTC,WAIT,1,45
2026-08-20 06:02:07,GBPCHF-OTC,WAIT,1,45
2026-08-20 06:03:39,GBPCHF-OTC,WAIT,1,45
2026-08-20 06:06:12,GBPCHF-OTC,WAIT,1,45
2026-08-20 06:15:03,GBPCHF-OTC,WAIT,1,45
2026-08-20 06:16:03,GBPCHF-OTC,WAIT,1,45
2026-08-20 06:17:03,GBPCHF-OTC,PUT,2,85
2026-08-20 06:18:09,GBPCHF-OTC,PUT,3,88
2026-08-20 06:19:18,GBPCHF-OTC,PUT,2,85
2026-08-20 06:22:13,GBPCHF-OTC,PUT,3,75
2026-08-20 06:33:21,GBPCHF-OTC,WAIT,1,45
2026-08-20 06:41:03,GBPCHF-OTC,PUT,2,75
2026-08-20 06:42:03,GBPCHF-OTC,WAIT,1,45
2026-08-20 06:43:03,GBPCHF-OTC,WAIT,1,45
2026-08-20 06:44:06,GBPCHF-OTC,WAIT,1,45
2026-08-20 06:45:07,GBPCHF-OTC,CALL,2,75
2026-08-20 06:46:07,GBPCHF-OTC,WAIT,1,45
2026-08-20 06:47:07,GBPCHF-OTC,WAIT,1,45
2026-08-20 06:48:32,GBPCHF-OTC,WAIT,1,45
2026-08-20 06:50:01,GBPCHF-OTC,WAIT,1,45
2026-08-20 06:52:50,GBPCHF-OTC,WAIT,1,45
