timestamp,symbol,action,expiry,confidence
2026-08-20 05:46:04,NZDUSD-OTC,WAIT,2,45
2026-08-20 05:47:04,NZDUSD-OTC,WAIT,2,45
2026-08-20 05:48:04,NZDUSD-OTC,WAIT,1,40
2026-08-20 05:49:34,NZDUSD-OTC,WAIT,1,40
2026-08-20 05:55:31,NZDUSD-OTC,WAIT,2,45
2026-08-20 05:59:04,NZDUSD-OTC,WAIT,2,45
2026-08-20 06:00:04,NZDUSD-OTC,PUT,2,85
2026-08-20 06:01:04,NZDUSD-OTC,PUT,2,85
2026-08-20 06:02:04,NZDUSD-OTC,CALL,2,78
2026-08-20 06:03:12,NZDUSD-OTC,PUT,2,78
2026-08-20 06:05:27,NZDUSD-OTC,PUT,3,85
2026-08-20 06:15:04,NZDUSD-OTC,WAIT,1,40
2026-08-20 06:16:03,NZDUSD-OTC,WAIT,1,40
2026-08-20 06:17:03,NZDUSD-OTC,WAIT,2,45
2026-08-20 06:18:11,NZDUSD-OTC,WAIT,1,40
2026-08-20 06:19:19,NZDUSD-OTC,WAIT,1,40
2026-08-20 06:22:09,NZDUSD-OTC,WAIT,1,40
2026-08-20 06:33:19,NZDUSD-OTC,WAIT,1,40
2026-08-20 06:41:03,NZDUSD-OTC,WAIT,1,40
2026-08-20 06:42:04,NZDUSD-OTC,WAIT,1,40
2026-08-20 06:43:04,NZDUSD-OTC,WAIT,1,40
2026-08-20 06:44:06,NZDUSD-OTC,WAIT,1,40
2026-08-20 06:45:06,NZDUSD-OTC,CALL,2,78
2026-08-20 06:46:06,NZDUSD-OTC,CALL,2,78
2026-08-20 06:47:07,NZDUSD-OTC,WAIT,2,45
2026-08-20 06:48:29,NZDUSD-OTC,WAIT,1,40
2026-08-20 06:49:57,NZDUSD-OTC,CALL,2,75
2026-08-20 06:52:53,NZDUSD-OTC,CALL,2,78
