timestamp,symbol,action,expiry,confidence
2026-08-20 16:16:04,USDJPY,CALL,2,75
2026-08-20 16:28:03,USDJPY,CALL,2,78
2026-08-20 16:52:03,USDJPY,CALL,2,82
2026-08-20 16:53:06,USDJPY,WAIT,1,45
2026-08-20 16:54:06,USDJPY,CALL,2,82
2026-08-20 16:55:14,USDJPY,CALL,2,78
2026-08-20 16:56:16,USDJPY,CALL,2,78
2026-08-20 16:57:30,USDJPY,CALL,2,78
2026-08-20 16:58:27,USDJPY,CALL,2,82
2026-08-20 16:59:41,USDJPY,CALL,2,78
2026-08-20 17:00:26,USDJPY,CALL,2,82
2026-08-20 17:01:47,USDJPY,WAIT,1,45
2026-08-20 17:02:44,USDJPY,CALL,2,82
2026-08-20 17:03:55,USDJPY,CALL,2,78
2026-08-20 17:06:14,USDJPY,PUT,2,75
2026-08-20 17:08:17,USDJPY,PUT,2,82
2026-08-20 17:10:26,USDJPY,CALL,2,82
2026-08-20 17:13:19,USDJPY,CALL,2,82
2026-08-20 17:17:15,USDJPY,CALL,2,78
2026-08-20 17:22:19,USDJPY,CALL,2,82
2026-08-20 17:28:42,USDJPY,CALL,2,75
2026-08-20 17:36:40,USDJPY,CALL,2,82
2026-08-20 17:47:18,USDJPY,CALL,2,78
2026-08-20 17:57:42,USDJPY,CALL,2,78
2026-08-20 18:06:16,USDJPY,CALL,2,75
2026-08-20 18:08:03,USDJPY,WAIT,1,45
2026-08-20 18:10:04,USDJPY,WAIT,1,35
2026-08-20 18:11:16,USDJPY,WAIT,1,45
2026-08-20 18:12:19,USDJPY,CALL,2,75
2026-08-20 18:13:47,USDJPY,WAIT,1,40
2026-08-20 18:15:01,USDJPY,WAIT,1,35
2026-08-20 18:25:28,USDJPY,WAIT,1,40
