2026-06-11 05:21:43,179 | INFO     | FINALBOT | [DYNAMIC] Loaded 2 symbols: ['EURUSD', 'EURUSD-OTC']
2026-06-11 05:21:43,972 | INFO     | core.data.iq_option_adapter | [CONN] Connecting to IQ Option (PRACTICE) as venuz20152565@gmail.com...
2026-06-11 05:21:44,698 | DEBUG    | iqoptionapi.ws.client | Websocket client connected.
2026-06-11 05:21:44,699 | DEBUG    | iqoptionapi.api | POST: https://auth.iqoption.com/api/v2/login headers: {'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36', 'Accept-Encoding': 'gzip, deflate, zstd', 'Accept': '*/*', 'Connection': 'keep-alive'} cookies:  {}
2026-06-11 05:21:44,703 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): auth.iqoption.com:443
2026-06-11 05:21:45,449 | DEBUG    | iqoptionapi.ws.client | {"name":"timeSync","msg":1781130105352}
2026-06-11 05:21:46,342 | DEBUG    | urllib3.connectionpool | https://auth.iqoption.com:443 "POST /api/v2/login HTTP/1.1" 200 408
2026-06-11 05:21:46,343 | DEBUG    | iqoptionapi.api | <Response [200]>
2026-06-11 05:21:46,344 | DEBUG    | iqoptionapi.api | {"code":"success","company_id":2,"created_at":1664505806,"ssid":"c6188922650d3b81c3e046daae3c27ba","token":"aHJfVHBvRUSrBpA3DlbGuUz_bBxUBC-9Vo0xHgHKKKQjvPPIWep-ezKnd2sMiHxt6l3tenngG7pOctv5ts54pDaK8P8tVf4yxQUmQnB5xPmqa0elQVCJW83bJxsteoAYgoalTa2x_AjpEQ-k0QRqgcxHx2p6uEd7gbFsPSV8WMK7N6xbeasNIbc3CJ8wysjqqWV_IRcHGykEl8eFpcnLirJfL2awP5HfTf9HTBjM5pIfYK7BR5UIdHSffinSrq7eYAR6m3pL6tpL4wvA4lT0-A","user_id":139208298}
2026-06-11 05:21:46,344 | DEBUG    | iqoptionapi.api | {'Server': 'nginx', 'Date': 'Wed, 10 Jun 2026 22:21:46 GMT', 'Content-Type': 'application/json; charset=utf-8', 'Content-Length': '408', 'Connection': 'keep-alive', 'Set-Cookie': 'ssid=c6188922650d3b81c3e046daae3c27ba; Path=/; Domain=iqoption.com; Max-Age=2592000; Secure; SameSite=None', 'Vary': 'Origin', 'X-Tracing-Key': '42b03aff-f6c7-4424-a331-24cfc7c0e47f', 'enable-vts-status': 'true', 'proxy-add-original-uri-header': 'false', 'Strict-Transport-Security': 'max-age=15555600', 'X-Content-Type-Options': 'nosniff'}
2026-06-11 05:21:46,344 | DEBUG    | iqoptionapi.api | <RequestsCookieJar[<Cookie ssid=c6188922650d3b81c3e046daae3c27ba for .iqoption.com/>]>
2026-06-11 05:21:46,345 | DEBUG    | iqoptionapi.api | {"name": "ssid", "msg": "c6188922650d3b81c3e046daae3c27ba", "request_id": 3446515}
2026-06-11 05:21:46,472 | DEBUG    | iqoptionapi.ws.client | {"name":"timeSync","msg":1781130106365}
